namapemda,provinsi,tahun,name,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2024,41. PAD,Anggaran,3015173166694.0
Provinsi Aceh,Provinsi Aceh,2024,41. PAD,Realisasi,2648958502467.54
Provinsi Aceh,Provinsi Aceh,2024,41. PAD,Anggaran,3015173166694.0
Provinsi Aceh,Provinsi Aceh,2024,41. PAD,Realisasi,2648958502467.54
Provinsi Aceh,Provinsi Aceh,2024,41. PAD,Anggaran,3015173166694.0
Provinsi Aceh,Provinsi Aceh,2024,41. PAD,Realisasi,2648958502467.54
Provinsi Aceh,Provinsi Aceh,2024,42. TKDD,Anggaran,8006910851000.0
Provinsi Aceh,Provinsi Aceh,2024,42. TKDD,Realisasi,6151101834448.0
Provinsi Aceh,Provinsi Aceh,2024,42. TKDD,Anggaran,8006910851000.0
Provinsi Aceh,Provinsi Aceh,2024,42. TKDD,Realisasi,6151101834448.0
Provinsi Aceh,Provinsi Aceh,2024,42. TKDD,Anggaran,8006910851000.0
Provinsi Aceh,Provinsi Aceh,2024,42. TKDD,Realisasi,6151101834448.0
Provinsi Aceh,Provinsi Aceh,2024,43. Pendapatan Lainnya,Anggaran,1968000000.0
Provinsi Aceh,Provinsi Aceh,2024,43. Pendapatan Lainnya,Realisasi,3311930202.42
Provinsi Aceh,Provinsi Aceh,2024,43. Pendapatan Lainnya,Anggaran,1968000000.0
Provinsi Aceh,Provinsi Aceh,2024,43. Pendapatan Lainnya,Realisasi,3311930202.42
Provinsi Aceh,Provinsi Aceh,2024,43. Pendapatan Lainnya,Anggaran,1968000000.0
Provinsi Aceh,Provinsi Aceh,2024,43. Pendapatan Lainnya,Realisasi,3311930202.42
Provinsi Aceh,Provinsi Aceh,2024,51. Belanja Pegawai,Anggaran,3406865134474.0
Provinsi Aceh,Provinsi Aceh,2024,51. Belanja Pegawai,Realisasi,2791942172658.2
Provinsi Aceh,Provinsi Aceh,2024,51. Belanja Pegawai,Anggaran,3406865134474.0
Provinsi Aceh,Provinsi Aceh,2024,51. Belanja Pegawai,Realisasi,2791942172658.2
Provinsi Aceh,Provinsi Aceh,2024,51. Belanja Pegawai,Anggaran,3406865134474.0
Provinsi Aceh,Provinsi Aceh,2024,51. Belanja Pegawai,Realisasi,2791942172658.2
Provinsi Aceh,Provinsi Aceh,2024,52. Belanja Barang dan Jasa,Anggaran,3593129746409.0
Provinsi Aceh,Provinsi Aceh,2024,52. Belanja Barang dan Jasa,Realisasi,2586494525025.6
Provinsi Aceh,Provinsi Aceh,2024,52. Belanja Barang dan Jasa,Anggaran,3593129746409.0
Provinsi Aceh,Provinsi Aceh,2024,52. Belanja Barang dan Jasa,Realisasi,2586494525025.6
Provinsi Aceh,Provinsi Aceh,2024,52. Belanja Barang dan Jasa,Anggaran,3593129746409.0
Provinsi Aceh,Provinsi Aceh,2024,52. Belanja Barang dan Jasa,Realisasi,2586494525025.6
Provinsi Aceh,Provinsi Aceh,2024,53. Belanja Modal,Anggaran,1056782859806.0
Provinsi Aceh,Provinsi Aceh,2024,53. Belanja Modal,Realisasi,503468626568.09
Provinsi Aceh,Provinsi Aceh,2024,53. Belanja Modal,Anggaran,1056782859806.0
Provinsi Aceh,Provinsi Aceh,2024,53. Belanja Modal,Realisasi,503468626568.09
Provinsi Aceh,Provinsi Aceh,2024,53. Belanja Modal,Anggaran,1056782859806.0
Provinsi Aceh,Provinsi Aceh,2024,53. Belanja Modal,Realisasi,503468626568.09
Provinsi Aceh,Provinsi Aceh,2024,54. Belanja Lainnya,Anggaran,3389274277005.0
Provinsi Aceh,Provinsi Aceh,2024,54. Belanja Lainnya,Realisasi,2415973794732.62
Provinsi Aceh,Provinsi Aceh,2024,54. Belanja Lainnya,Anggaran,3389274277005.0
Provinsi Aceh,Provinsi Aceh,2024,54. Belanja Lainnya,Realisasi,2415973794732.62
Provinsi Aceh,Provinsi Aceh,2024,54. Belanja Lainnya,Anggaran,3389274277005.0
Provinsi Aceh,Provinsi Aceh,2024,54. Belanja Lainnya,Realisasi,2415973794732.62
Provinsi Aceh,Provinsi Aceh,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,473000000000.0
Provinsi Aceh,Provinsi Aceh,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,946591836483.2
Provinsi Aceh,Provinsi Aceh,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,473000000000.0
Provinsi Aceh,Provinsi Aceh,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,946591836483.2
Provinsi Aceh,Provinsi Aceh,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,473000000000.0
Provinsi Aceh,Provinsi Aceh,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,946591836483.2
Provinsi Aceh,Provinsi Aceh,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,51000000000.0
Provinsi Aceh,Provinsi Aceh,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,87168413217.22
Provinsi Aceh,Provinsi Aceh,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,51000000000.0
Provinsi Aceh,Provinsi Aceh,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,87168413217.22
Provinsi Aceh,Provinsi Aceh,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,51000000000.0
Provinsi Aceh,Provinsi Aceh,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,87168413217.22
Provinsi Bali,Provinsi Bali,2024,41. PAD,Anggaran,4074449341179.0
Provinsi Bali,Provinsi Bali,2024,41. PAD,Realisasi,4422184154416.67
Provinsi Bali,Provinsi Bali,2024,41. PAD,Anggaran,4074449341179.0
Provinsi Bali,Provinsi Bali,2024,41. PAD,Realisasi,4422184154416.67
Provinsi Bali,Provinsi Bali,2024,41. PAD,Anggaran,4074449341179.0
Provinsi Bali,Provinsi Bali,2024,41. PAD,Realisasi,4422184154416.67
Provinsi Bali,Provinsi Bali,2024,42. TKDD,Anggaran,2274042730000.0
Provinsi Bali,Provinsi Bali,2024,42. TKDD,Realisasi,1515893565416.0
Provinsi Bali,Provinsi Bali,2024,42. TKDD,Anggaran,2274042730000.0
Provinsi Bali,Provinsi Bali,2024,42. TKDD,Realisasi,1515893565416.0
Provinsi Bali,Provinsi Bali,2024,42. TKDD,Anggaran,2274042730000.0
Provinsi Bali,Provinsi Bali,2024,42. TKDD,Realisasi,1515893565416.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Anggaran,5708000000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Realisasi,478687000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Anggaran,5708000000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Realisasi,478687000.0
