namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1929017709830
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1617982315522
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,14221210166
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,13028037234
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,257740010705
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,267660903349
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,814194235993
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,750287246362.54
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,8006910851000
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,6151101834448
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,1968000000
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,2229863779.42
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,1082066423
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,3406865134474
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2791942172658.2
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,3593129746409
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,2586494525025.6
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,1056782859806
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,503468626568.09
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,4052000000
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,3813680000
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,1194958862224
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,959860173177.62
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,271550849231
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,61415223979
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,8595194981
