namapemda,provinsi,tahun,level2,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Fisik,Anggaran,368055557000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Fisik,Realisasi,225469803686
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Anggaran,858400088000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Realisasi,757347432072
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Umum,Anggaran,2209708573000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Umum,Realisasi,2216346683914
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,Anggaran,286543791000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,Realisasi,235839657190
Provinsi Aceh,Provinsi Aceh,2024,Dana Insentif Daerah,Anggaran,17849482000
Provinsi Aceh,Provinsi Aceh,2024,Dana Insentif Daerah,Realisasi,12529644500
Provinsi Aceh,Provinsi Aceh,2024,Dana Otonomi Khusus,Anggaran,4276993035000
Provinsi Aceh,Provinsi Aceh,2024,Dana Otonomi Khusus,Realisasi,4173706861750
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Fisik,Anggaran,108245814000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Fisik,Realisasi,67156013348
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Anggaran,618988141000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Khusus Nonfisik,Realisasi,565203627793
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Anggaran,1366655991000
Provinsi Bali,Provinsi Bali,2024,Dana Alokasi Umum,Realisasi,1357049934433
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,Anggaran,163190790000
Provinsi Bali,Provinsi Bali,2024,Dana Bagi Hasil,Realisasi,163168581210
Provinsi Bali,Provinsi Bali,2024,Dana Insentif Daerah,Anggaran,23157354000
Provinsi Bali,Provinsi Bali,2024,Dana Insentif Daerah,Realisasi,23157354000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Alokasi Khusus Fisik,Anggaran,101146298000
