namapemda,provinsi,tahun,level2,level3,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Anggaran,368055557000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Realisasi,225469803686
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasioanal Penyelenggaraan (BOP) Museum dan Taman Budaya,Anggaran,5800000000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasioanal Penyelenggaraan (BOP) Museum dan Taman Budaya,Realisasi,5800000000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Anggaran,4611069000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Realisasi,4611069000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Anggaran,345527850000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Realisasi,344584657108
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Anggaran,1701558000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Realisasi,1701558000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Anggaran,406000000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Realisasi,406000000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Penguatan Kapasitas Kelembagaan Sentra Industri Kecil dan Menengah,Anggaran,2850000000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Penguatan Kapasitas Kelembagaan Sentra Industri Kecil dan Menengah,Realisasi,1425000000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Anggaran,6774992000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Realisasi,6774992000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Anggaran,10002074000
Provinsi Aceh,Provinsi Aceh,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Realisasi,7462919964
