kode_wilayah,wilayah,judul_data,tahun,nilai
35000,Jawa Timur,Tidak ada,2018,0.379
35000,Jawa Timur,Tidak ada,2019,0.37
35000,Jawa Timur,Tidak ada,2020,0.366
35000,Jawa Timur,Tidak ada,2020,0.366
35000,Jawa Timur,Tidak ada,2020,0.364
35000,Jawa Timur,Tidak ada,2021,0.374
35000,Jawa Timur,Tidak ada,2022,0.371
35000,Jawa Timur,Tidak ada,2023,0.387
35000,Jawa Timur,Tidak ada,2024,0.372
3501,Kabupaten Pacitan,Tidak ada,2018,0.351
3501,Kabupaten Pacitan,Tidak ada,2019,0.398
3501,Kabupaten Pacitan,Tidak ada,2020,0.351
3501,Kabupaten Pacitan,Tidak ada,2020,0.351
3501,Kabupaten Pacitan,Tidak ada,2021,0.337
3501,Kabupaten Pacitan,Tidak ada,2022,0.338
3501,Kabupaten Pacitan,Tidak ada,2023,0.352
3501,Kabupaten Pacitan,Tidak ada,2024,0.327
3502,Kabupaten Ponorogo,Tidak ada,2018,0.35
3502,Kabupaten Ponorogo,Tidak ada,2019,0.346
3502,Kabupaten Ponorogo,Tidak ada,2020,0.38
3502,Kabupaten Ponorogo,Tidak ada,2020,0.38
3502,Kabupaten Ponorogo,Tidak ada,2021,0.369
3502,Kabupaten Ponorogo,Tidak ada,2022,0.336
3502,Kabupaten Ponorogo,Tidak ada,2023,0.341
3502,Kabupaten Ponorogo,Tidak ada,2024,0.326
3503,Kabupaten Trenggalek,Tidak ada,2018,0.387
3503,Kabupaten Trenggalek,Tidak ada,2019,0.372
3503,Kabupaten Trenggalek,Tidak ada,2020,0.379
3503,Kabupaten Trenggalek,Tidak ada,2020,0.379
3503,Kabupaten Trenggalek,Tidak ada,2021,0.335
3503,Kabupaten Trenggalek,Tidak ada,2022,0.331
3503,Kabupaten Trenggalek,Tidak ada,2023,0.336
3503,Kabupaten Trenggalek,Tidak ada,2024,0.35
3504,Kabupaten Tulungagung,Tidak ada,2018,0.373
3504,Kabupaten Tulungagung,Tidak ada,2019,0.304
3504,Kabupaten Tulungagung,Tidak ada,2020,0.336
3504,Kabupaten Tulungagung,Tidak ada,2020,0.336
3504,Kabupaten Tulungagung,Tidak ada,2021,0.327
3504,Kabupaten Tulungagung,Tidak ada,2022,0.342
3504,Kabupaten Tulungagung,Tidak ada,2023,0.328
3504,Kabupaten Tulungagung,Tidak ada,2024,0.321
3505,Kabupaten Blitar,Tidak ada,2018,0.38
3505,Kabupaten Blitar,Tidak ada,2019,0.333
3505,Kabupaten Blitar,Tidak ada,2020,0.348
3505,Kabupaten Blitar,Tidak ada,2020,0.348
3505,Kabupaten Blitar,Tidak ada,2021,0.353
3505,Kabupaten Blitar,Tidak ada,2022,0.335
3505,Kabupaten Blitar,Tidak ada,2023,0.36
3505,Kabupaten Blitar,Tidak ada,2024,0.353
3506,Kabupaten Kediri,Tidak ada,2018,0.333
3506,Kabupaten Kediri,Tidak ada,2019,0.299
3506,Kabupaten Kediri,Tidak ada,2020,0.325
3506,Kabupaten Kediri,Tidak ada,2020,0.325
3506,Kabupaten Kediri,Tidak ada,2021,0.33
3506,Kabupaten Kediri,Tidak ada,2022,0.329
3506,Kabupaten Kediri,Tidak ada,2023,0.306
3506,Kabupaten Kediri,Tidak ada,2024,0.3
3507,Kabupaten Malang,Tidak ada,2018,0.382
3507,Kabupaten Malang,Tidak ada,2019,0.382
3507,Kabupaten Malang,Tidak ada,2020,0.371
3507,Kabupaten Malang,Tidak ada,2020,0.371
3507,Kabupaten Malang,Tidak ada,2021,0.367
3507,Kabupaten Malang,Tidak ada,2022,0.368
3507,Kabupaten Malang,Tidak ada,2023,0.378
3507,Kabupaten Malang,Tidak ada,2024,0.343
3508,Kabupaten Lumajang,Tidak ada,2018,0.32
3508,Kabupaten Lumajang,Tidak ada,2019,0.295
3508,Kabupaten Lumajang,Tidak ada,2020,0.297
3508,Kabupaten Lumajang,Tidak ada,2020,0.297
3508,Kabupaten Lumajang,Tidak ada,2021,0.309
3508,Kabupaten Lumajang,Tidak ada,2022,0.349
3508,Kabupaten Lumajang,Tidak ada,2023,0.391
3508,Kabupaten Lumajang,Tidak ada,2024,0.363
3509,Kabupaten Jember,Tidak ada,2018,0.336
3509,Kabupaten Jember,Tidak ada,2019,0.301
3509,Kabupaten Jember,Tidak ada,2020,0.318
3509,Kabupaten Jember,Tidak ada,2020,0.318
3509,Kabupaten Jember,Tidak ada,2021,0.336
3509,Kabupaten Jember,Tidak ada,2022,0.301
3509,Kabupaten Jember,Tidak ada,2023,0.344
3509,Kabupaten Jember,Tidak ada,2024,0.321
3510,Kabupaten Banyuwangi,Tidak ada,2018,0.31
3510,Kabupaten Banyuwangi,Tidak ada,2019,0.313
3510,Kabupaten Banyuwangi,Tidak ada,2020,0.316
3510,Kabupaten Banyuwangi,Tidak ada,2020,0.316
3510,Kabupaten Banyuwangi,Tidak ada,2021,0.373
3510,Kabupaten Banyuwangi,Tidak ada,2022,0.329
3510,Kabupaten Banyuwangi,Tidak ada,2023,0.351
3510,Kabupaten Banyuwangi,Tidak ada,2024,0.312
3511,Kabupaten Bondowoso,Tidak ada,2018,0.351
3511,Kabupaten Bondowoso,Tidak ada,2019,0.302
3511,Kabupaten Bondowoso,Tidak ada,2020,0.329
3511,Kabupaten Bondowoso,Tidak ada,2020,0.329
3511,Kabupaten Bondowoso,Tidak ada,2021,0.334
3511,Kabupaten Bondowoso,Tidak ada,2022,0.365
3511,Kabupaten Bondowoso,Tidak ada,2023,0.35
3511,Kabupaten Bondowoso,Tidak ada,2024,0.333
3512,Kabupaten Situbondo,Tidak ada,2018,0.36
3512,Kabupaten Situbondo,Tidak ada,2019,0.319
3512,Kabupaten Situbondo,Tidak ada,2020,0.305
3512,Kabupaten Situbondo,Tidak ada,2020,0.305
3512,Kabupaten Situbondo,Tidak ada,2021,0.323
3512,Kabupaten Situbondo,Tidak ada,2022,0.298
3512,Kabupaten Situbondo,Tidak ada,2023,0.326
3512,Kabupaten Situbondo,Tidak ada,2024,0.385
3513,Kabupaten Probolinggo,Tidak ada,2018,0.34
3513,Kabupaten Probolinggo,Tidak ada,2019,0.326
3513,Kabupaten Probolinggo,Tidak ada,2020,0.326
