,tahun,PDRB,wilayah,kode_wilayah
0,2010,101545.24,ACEH,1100
1,2011,108406.39,ACEH,1100
2,2012,114943.70999999999,ACEH,1100
3,2013,122198.29,ACEH,1100
4,2014,128245.72,ACEH,1100
5,2015,128830.51,ACEH,1100
6,2016,136697.86,ACEH,1100
7,2017,145936.75,ACEH,1100
8,2018,155803.81,ACEH,1100
9,2019,164733.94,ACEH,1100
10,2020,166675.81,ACEH,1100
11,2021,184350.26,ACEH,1100
12,2022,207572.44,ACEH,1100
13,2023,223285.38,ACEH,1100
14,2024,239529.5,ACEH,1100
15,2010,331085.24,SUMATERA UTARA,1200
16,2011,373874.44999999995,SUMATERA UTARA,1200
17,2012,414582.25,SUMATERA UTARA,1200
18,2013,465727.55000000005,SUMATERA UTARA,1200
19,2014,517695.11,SUMATERA UTARA,1200
20,2015,569176.8,SUMATERA UTARA,1200
21,2016,630766.38,SUMATERA UTARA,1200
22,2017,689422.33,SUMATERA UTARA,1200
23,2018,747849.71,SUMATERA UTARA,1200
24,2019,807209.99,SUMATERA UTARA,1200
25,2020,822036.37,SUMATERA UTARA,1200
26,2021,871153.8099999999,SUMATERA UTARA,1200
27,2022,959444.96,SUMATERA UTARA,1200
28,2023,1046151.3999999999,SUMATERA UTARA,1200
29,2024,1146943.46,SUMATERA UTARA,1200
30,2010,105017.74,SUMATERA BARAT,1300
31,2011,118567.29,SUMATERA BARAT,1300
32,2012,132039.41,SUMATERA BARAT,1300
33,2013,147547.58000000002,SUMATERA BARAT,1300
34,2014,165611.55,SUMATERA BARAT,1300
35,2015,181301.75,SUMATERA BARAT,1300
36,2016,198656.2,SUMATERA BARAT,1300
37,2017,213166.9,SUMATERA BARAT,1300
38,2018,229188.26,SUMATERA BARAT,1300
39,2019,246326.41,SUMATERA BARAT,1300
40,2020,242135.32,SUMATERA BARAT,1300
41,2021,253608.11,SUMATERA BARAT,1300
42,2022,285084.64,SUMATERA BARAT,1300
43,2023,312341.67,SUMATERA BARAT,1300
44,2024,332165.55,SUMATERA BARAT,1300
45,2010,388578.22,RIAU,1400
46,2011,485295.55,RIAU,1400
47,2012,554062.63,RIAU,1400
48,2013,605745.88,RIAU,1400
49,2014,673958.3200000001,RIAU,1400
50,2015,650649.98,RIAU,1400
51,2016,682379.42,RIAU,1400
52,2017,710256.8300000001,RIAU,1400
53,2018,757844.83,RIAU,1400
54,2019,765420.78,RIAU,1400
55,2020,730297.03,RIAU,1400
56,2021,843013.91,RIAU,1400
57,2022,994053.7,RIAU,1400
58,2023,1030580.13,RIAU,1400
59,2024,1108989.14,RIAU,1400
60,2010,90618.41,JAMBI,1500
61,2011,103438.65,JAMBI,1500
62,2012,115423.31999999999,JAMBI,1500
63,2013,130146.2,JAMBI,1500
64,2014,144944.5,JAMBI,1500
65,2015,154773.19,JAMBI,1500
66,2016,171214.47,JAMBI,1500
67,2017,190260.76,JAMBI,1500
68,2018,209442.23,JAMBI,1500
69,2019,219312.39,JAMBI,1500
70,2020,207098.01,JAMBI,1500
71,2021,232797.81,JAMBI,1500
72,2022,275764.89,JAMBI,1500
73,2023,291762.52,JAMBI,1500
74,2024,317469.31,JAMBI,1500
75,2010,194012.98,SUMATERA SELATAN,1600
76,2011,224742.76,SUMATERA SELATAN,1600
77,2012,253083.14,SUMATERA SELATAN,1600
78,2013,280667.66000000003,SUMATERA SELATAN,1600
79,2014,308805.65,SUMATERA SELATAN,1600
80,2015,336864.46,SUMATERA SELATAN,1600
81,2016,356677.89999999997,SUMATERA SELATAN,1600
82,2017,388902.13,SUMATERA SELATAN,1600
83,2018,425514.17,SUMATERA SELATAN,1600
84,2019,460988.56,SUMATERA SELATAN,1600
85,2020,465255.09,SUMATERA SELATAN,1600
86,2021,503871.83999999997,SUMATERA SELATAN,1600
87,2022,600573.17,SUMATERA SELATAN,1600
88,2023,641567.28,SUMATERA SELATAN,1600
89,2024,677040.6,SUMATERA SELATAN,1600
90,2010,28352.559999999998,BENGKULU,1700
91,2011,31860.9,BENGKULU,1700
92,2012,35822.25,BENGKULU,1700
93,2013,40082.05,BENGKULU,1700
94,2014,44911.31,BENGKULU,1700
95,2015,49901.71,BENGKULU,1700
96,2016,55200.71,BENGKULU,1700
97,2017,60617.240000000005,BENGKULU,1700
98,2018,66347.16,BENGKULU,1700
99,2019,72101.41,BENGKULU,1700
100,2020,73364.4,BENGKULU,1700
101,2021,79607.75,BENGKULU,1700
102,2022,89589.23,BENGKULU,1700
103,2023,95958.26,BENGKULU,1700
104,2024,103363.04999999999,BENGKULU,1700
105,2010,150560.84,LAMPUNG,1800
106,2011,168615.91,LAMPUNG,1800
107,2012,185938.77,LAMPUNG,1800
108,2013,205398.47,LAMPUNG,1800
109,2014,230942.09,LAMPUNG,1800
110,2015,252590.12,LAMPUNG,1800
111,2016,281180.4,LAMPUNG,1800
112,2017,309432.88,LAMPUNG,1800
113,2018,335429.77,LAMPUNG,1800
114,2019,360250.68,LAMPUNG,1800
115,2020,358495.14,LAMPUNG,1800
116,2021,376063.15,LAMPUNG,1800
117,2022,416383.14,LAMPUNG,1800
118,2023,452308.56,LAMPUNG,1800
119,2024,487887.16000000003,LAMPUNG,1800
120,2010,35561.91,KEP. BANGKA BELITUNG,1900
121,2011,40356.81,KEP. BANGKA BELITUNG,1900
122,2012,45153.29,KEP. BANGKA BELITUNG,1900
123,2013,50194.11,KEP. BANGKA BELITUNG,1900
124,2014,55745.32,KEP. BANGKA BELITUNG,1900
125,2015,60167.09,KEP. BANGKA BELITUNG,1900
126,2016,64753.31,KEP. BANGKA BELITUNG,1900
127,2017,70167.02,KEP. BANGKA BELITUNG,1900
128,2018,73474.22,KEP. BANGKA BELITUNG,1900
129,2019,76373.42,KEP. BANGKA BELITUNG,1900
130,2020,75589.22,KEP. BANGKA BELITUNG,1900
131,2021,86015.36,KEP. BANGKA BELITUNG,1900
132,2022,95310.26,KEP. BANGKA BELITUNG,1900
133,2023,102548.70999999999,KEP. BANGKA BELITUNG,1900
134,2024,107596.03,KEP. BANGKA BELITUNG,1900
135,2010,111223.67,KEPULAUAN RIAU,2100
136,2011,126864.17000000001,KEPULAUAN RIAU,2100
137,2012,142442.19,KEPULAUAN RIAU,2100
138,2013,162378.27,KEPULAUAN RIAU,2100
139,2014,179089.56,KEPULAUAN RIAU,2100
140,2015,198912.5,KEPULAUAN RIAU,2100
141,2016,213259.5,KEPULAUAN RIAU,2100
142,2017,226136.74000000002,KEPULAUAN RIAU,2100
143,2018,244532.13,KEPULAUAN RIAU,2100
144,2019,263014.82,KEPULAUAN RIAU,2100
145,2020,252235.44,KEPULAUAN RIAU,2100
146,2021,270457.10000000003,KEPULAUAN RIAU,2100
147,2022,305723.93000000005,KEPULAUAN RIAU,2100
148,2023,332113.27,KEPULAUAN RIAU,2100
149,2024,353067.55,KEPULAUAN RIAU,2100
150,2010,1075183.47,DKI JAKARTA,3100
151,2011,1223310.32,DKI JAKARTA,3100
152,2012,1368380.88,DKI JAKARTA,3100
153,2013,1546255.75,DKI JAKARTA,3100
154,2014,1761489.33,DKI JAKARTA,3100
155,2015,1989054.46,DKI JAKARTA,3100
156,2016,2163751.15,DKI JAKARTA,3100
157,2017,2374307.41,DKI JAKARTA,3100
158,2018,2606252.83,DKI JAKARTA,3100
159,2019,2831565.74,DKI JAKARTA,3100
160,2020,2786487.07,DKI JAKARTA,3100
161,2021,2934808.08,DKI JAKARTA,3100
162,2022,3211814.0500000003,DKI JAKARTA,3100
163,2023,3469369.66,DKI JAKARTA,3100
164,2024,3709918.68,DKI JAKARTA,3100
165,2010,906685.75,JAWA BARAT,3200
