,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2007,2136146603990.0
1,1100,Provinsi Aceh,2008,2623975179504.0
2,1100,Provinsi Aceh,2009,3224332000000.0
3,1100,Provinsi Aceh,2010,1393781765613.0
4,1100,Provinsi Aceh,2011,885310322339.0
5,1100,Provinsi Aceh,2012,811130329000.0
6,1100,Provinsi Aceh,2013,1678169751027.0
7,1100,Provinsi Aceh,2014,2203619847281.0
8,1100,Provinsi Aceh,2015,1052510625916.0
9,1100,Provinsi Aceh,2016,333465894819.0
10,1100,Provinsi Aceh,2017,441760665792.0
11,1100,Provinsi Aceh,2018,897354993296.0
12,1100,Provinsi Aceh,2019,1724595332255.0
13,1100,Provinsi Aceh,2020,1822307878779.0
14,1100,Provinsi Aceh,2021,3194075759194.0
15,1100,Provinsi Aceh,2022,4008667273688.0
16,1100,Provinsi Aceh,2023,1107039788905.0
17,1100,Provinsi Aceh,2024,524000000000.0
18,1100,Provinsi Aceh,2025,313874262395.0
19,5100,Provinsi Bali,2005,35000000000.0
20,5100,Provinsi Bali,2006,82719460000.0
21,5100,Provinsi Bali,2007,94412860000.0
22,5100,Provinsi Bali,2008,233308677923.0
23,5100,Provinsi Bali,2009,282230000000.0
24,5100,Provinsi Bali,2010,317167966325.0
25,5100,Provinsi Bali,2011,340378604180.7
26,5100,Provinsi Bali,2012,506882514364.91
27,5100,Provinsi Bali,2013,818056120729.49
28,5100,Provinsi Bali,2014,971494034728.5
29,5100,Provinsi Bali,2015,780856381213.07
30,5100,Provinsi Bali,2016,465678970164.77
31,5100,Provinsi Bali,2017,505067014951.67
32,5100,Provinsi Bali,2018,683232420919.54
33,5100,Provinsi Bali,2019,510757121691.0
34,5100,Provinsi Bali,2020,835174728985.0
35,5100,Provinsi Bali,2021,2592612464215.0
36,5100,Provinsi Bali,2022,1257826256662.0
37,5100,Provinsi Bali,2023,1463445729031.0
38,5100,Provinsi Bali,2024,1060642093425.0
39,5100,Provinsi Bali,2025,1602590307666.0
40,1900,Provinsi Bangka Belitung,2005,199073080000.0
41,1900,Provinsi Bangka Belitung,2006,158606040000.0
42,1900,Provinsi Bangka Belitung,2007,308033321073.0
43,1900,Provinsi Bangka Belitung,2008,150071558682.0
44,1900,Provinsi Bangka Belitung,2009,193877000000.0
45,1900,Provinsi Bangka Belitung,2010,272916872572.81
46,1900,Provinsi Bangka Belitung,2011,100000000000.0
47,1900,Provinsi Bangka Belitung,2012,85000000000.0
48,1900,Provinsi Bangka Belitung,2013,387593350622.24
49,1900,Provinsi Bangka Belitung,2014,260398812107.81
50,1900,Provinsi Bangka Belitung,2015,227501516638.72
51,1900,Provinsi Bangka Belitung,2016,423700774136.92
52,1900,Provinsi Bangka Belitung,2017,320544385627.95
53,1900,Provinsi Bangka Belitung,2018,384325467665.47
54,1900,Provinsi Bangka Belitung,2019,292150362880.72
55,1900,Provinsi Bangka Belitung,2020,188307784784.05
56,1900,Provinsi Bangka Belitung,2021,540360908811.0
57,1900,Provinsi Bangka Belitung,2022,348514811970.0
58,1900,Provinsi Bangka Belitung,2023,502061725759.0
59,1900,Provinsi Bangka Belitung,2024,646833473536.0
60,1900,Provinsi Bangka Belitung,2025,225021032633.0
61,3600,Provinsi Banten,2005,310397450000.0
62,3600,Provinsi Banten,2006,258579940000.0
63,3600,Provinsi Banten,2007,91400000000.0
64,3600,Provinsi Banten,2008,133336148973.0
65,3600,Provinsi Banten,2009,172698000000.0
66,3600,Provinsi Banten,2010,180950000000.0
67,3600,Provinsi Banten,2011,583400000000.0
68,3600,Provinsi Banten,2012,296000000000.0
69,3600,Provinsi Banten,2013,395302500000.0
70,3600,Provinsi Banten,2014,1047506050000.0
71,3600,Provinsi Banten,2015,1347000000000.0
72,3600,Provinsi Banten,2016,950789335100.0
73,3600,Provinsi Banten,2017,559063064000.0
74,3600,Provinsi Banten,2018,996763985000.0
75,3600,Provinsi Banten,2019,584547637000.0
76,3600,Provinsi Banten,2020,705027810000.0
77,3600,Provinsi Banten,2021,4445122370550.0
78,3600,Provinsi Banten,2022,688300000000.0
79,3600,Provinsi Banten,2023,1004186733036.0
80,3600,Provinsi Banten,2024,406995466072.0
81,3600,Provinsi Banten,2025,291033634237.0
82,1700,Provinsi Bengkulu,2005,23478500000.0
83,1700,Provinsi Bengkulu,2006,177956290000.0
84,1700,Provinsi Bengkulu,2007,25080000000.0
85,1700,Provinsi Bengkulu,2008,351891215795.0
86,1700,Provinsi Bengkulu,2009,407257000000.0
87,1700,Provinsi Bengkulu,2010,44219003224.0
88,1700,Provinsi Bengkulu,2011,22558318426.0
89,1700,Provinsi Bengkulu,2012,43697744745.0
90,1700,Provinsi Bengkulu,2013,84467508688.0
91,1700,Provinsi Bengkulu,2014,116205238247.0
92,1700,Provinsi Bengkulu,2015,87603087581.0
93,1700,Provinsi Bengkulu,2016,110133237431.73
94,1700,Provinsi Bengkulu,2017,339632582990.5
95,1700,Provinsi Bengkulu,2018,452120000000.0
96,1700,Provinsi Bengkulu,2019,294699851121.0
97,1700,Provinsi Bengkulu,2020,136880335013.97
98,1700,Provinsi Bengkulu,2021,20080000000.0
99,1700,Provinsi Bengkulu,2022,84361429510.0
100,1700,Provinsi Bengkulu,2023,80013028628.0
101,1700,Provinsi Bengkulu,2024,66000000000.0
102,1700,Provinsi Bengkulu,2025,76912473000.0
103,3400,Provinsi DI Yogyakarta,2005,146210320000.0
104,3400,Provinsi DI Yogyakarta,2006,150111280000.0
105,3400,Provinsi DI Yogyakarta,2007,195070111946.0
106,3400,Provinsi DI Yogyakarta,2008,445480319766.0
107,3400,Provinsi DI Yogyakarta,2009,222089000000.0
108,3400,Provinsi DI Yogyakarta,2010,231604202581.0
109,3400,Provinsi DI Yogyakarta,2011,235540610920.0
110,3400,Provinsi DI Yogyakarta,2012,253990160820.0
111,3400,Provinsi DI Yogyakarta,2013,259413534020.0
112,3400,Provinsi DI Yogyakarta,2014,331771707135.0
113,3400,Provinsi DI Yogyakarta,2015,291988867275.12
114,3400,Provinsi DI Yogyakarta,2016,542923579059.8
115,3400,Provinsi DI Yogyakarta,2017,220006693286.8
116,3400,Provinsi DI Yogyakarta,2018,405362143394.37
117,3400,Provinsi DI Yogyakarta,2019,665774501899.05
118,3400,Provinsi DI Yogyakarta,2020,721793302751.62
119,3400,Provinsi DI Yogyakarta,2021,608802765821.0
120,3400,Provinsi DI Yogyakarta,2022,744087611517.0
121,3400,Provinsi DI Yogyakarta,2023,859000000000.0
122,3400,Provinsi DI Yogyakarta,2024,760008734967.0
123,3400,Provinsi DI Yogyakarta,2025,427937540608.0
124,3100,Provinsi DKI Jakarta,2005,1740000000000.0
125,3100,Provinsi DKI Jakarta,2006,3123123570000.0
126,3100,Provinsi DKI Jakarta,2008,1869033261339.0
127,3100,Provinsi DKI Jakarta,2009,2027080000000.0
128,3100,Provinsi DKI Jakarta,2010,2886712546000.0
129,3100,Provinsi DKI Jakarta,2011,3060463045400.0
130,3100,Provinsi DKI Jakarta,2012,7576913710508.0
131,3100,Provinsi DKI Jakarta,2013,12858113668000.0
132,3100,Provinsi DKI Jakarta,2014,14401787800000.0
133,3100,Provinsi DKI Jakarta,2015,14480000216022.0
134,3100,Provinsi DKI Jakarta,2016,15385976322090.0
135,3100,Provinsi DKI Jakarta,2017,14305482897958.0
136,3100,Provinsi DKI Jakarta,2018,17035104977161.0
137,3100,Provinsi DKI Jakarta,2019,22497868204491.0
138,3100,Provinsi DKI Jakarta,2020,14105867158620.0
139,3100,Provinsi DKI Jakarta,2021,23238666871637.0
140,3100,Provinsi DKI Jakarta,2022,11736313016000.0
141,3100,Provinsi DKI Jakarta,2023,18567762336991.0
142,3100,Provinsi DKI Jakarta,2024,18385766118329.0
143,3100,Provinsi DKI Jakarta,2025,18292355103820.0
144,7500,Provinsi Gorontalo,2005,6899130000.0
145,7500,Provinsi Gorontalo,2007,73774598669.0
146,7500,Provinsi Gorontalo,2008,135563566546.0
147,7500,Provinsi Gorontalo,2009,60000000000.0
148,7500,Provinsi Gorontalo,2010,94185439690.0
149,7500,Provinsi Gorontalo,2011,84411446410.0
150,7500,Provinsi Gorontalo,2012,95000000000.0
151,7500,Provinsi Gorontalo,2013,75635931666.0
152,7500,Provinsi Gorontalo,2014,111576219250.0
153,7500,Provinsi Gorontalo,2015,68881561300.0
154,7500,Provinsi Gorontalo,2016,14829155506.0
155,7500,Provinsi Gorontalo,2017,12991869650.0
156,7500,Provinsi Gorontalo,2018,2500000000.0
157,7500,Provinsi Gorontalo,2019,0.0
158,7500,Provinsi Gorontalo,2020,0.0
159,7500,Provinsi Gorontalo,2021,17930092359.0
160,7500,Provinsi Gorontalo,2022,17823553640.0
161,7500,Provinsi Gorontalo,2023,91443782375.0
162,7500,Provinsi Gorontalo,2024,114180988131.0
163,7500,Provinsi Gorontalo,2025,91978350244.0
164,1500,Provinsi Jambi,2005,18625009999.999996
165,1500,Provinsi Jambi,2006,144744130000.0
166,1500,Provinsi Jambi,2007,359640506177.0
167,1500,Provinsi Jambi,2008,293043501320.0
168,1500,Provinsi Jambi,2009,363700000000.0
169,1500,Provinsi Jambi,2010,200000000000.0
170,1500,Provinsi Jambi,2011,100370000000.0
171,1500,Provinsi Jambi,2012,208201282192.0
172,1500,Provinsi Jambi,2013,206452219216.0
173,1500,Provinsi Jambi,2014,283338396117.0
174,1500,Provinsi Jambi,2015,219909958120.48
175,1500,Provinsi Jambi,2016,300060345248.0
176,1500,Provinsi Jambi,2017,178583989302.0
177,1500,Provinsi Jambi,2018,297121292560.0
178,1500,Provinsi Jambi,2019,325853873600.77
179,1500,Provinsi Jambi,2020,550842147224.04
180,1500,Provinsi Jambi,2021,257473515534.0
181,1500,Provinsi Jambi,2022,584950970672.0
182,1500,Provinsi Jambi,2023,772878439490.0
183,1500,Provinsi Jambi,2024,573604709037.0
184,1500,Provinsi Jambi,2025,80147102079.0
185,3200,Provinsi Jawa Barat,2005,674216250000.0
186,3200,Provinsi Jawa Barat,2006,778679320000.0
187,3200,Provinsi Jawa Barat,2007,716145842384.8401
188,3200,Provinsi Jawa Barat,2008,623958454065.0
189,3200,Provinsi Jawa Barat,2009,1310930000000.0
190,3200,Provinsi Jawa Barat,2010,1803152583727.54
191,3200,Provinsi Jawa Barat,2011,1537698800000.0
192,3200,Provinsi Jawa Barat,2012,1963802796000.0
193,3200,Provinsi Jawa Barat,2013,1114850586530.0
194,3200,Provinsi Jawa Barat,2014,1872391675156.0
195,3200,Provinsi Jawa Barat,2015,1900000000000.0
196,3200,Provinsi Jawa Barat,2016,3403575000000.0
197,3200,Provinsi Jawa Barat,2017,2511875000000.0
198,3200,Provinsi Jawa Barat,2018,2000000000000.0
199,3200,Provinsi Jawa Barat,2019,2326800000000.0
200,3200,Provinsi Jawa Barat,2020,4612108362430.0
201,3200,Provinsi Jawa Barat,2021,3343068905676.0
202,3200,Provinsi Jawa Barat,2022,1499914103256.0
203,3200,Provinsi Jawa Barat,2023,1961024890262.0
204,3200,Provinsi Jawa Barat,2024,2000165518950.0
205,3200,Provinsi Jawa Barat,2025,1310193958480.0
206,3300,Provinsi Jawa Tengah,2005,413113220000.0
207,3300,Provinsi Jawa Tengah,2006,1141373510000.0
208,3300,Provinsi Jawa Tengah,2007,439753266000.0
209,3300,Provinsi Jawa Tengah,2008,961682420000.0
210,3300,Provinsi Jawa Tengah,2009,438365000000.0
211,3300,Provinsi Jawa Tengah,2010,404000341000.0
212,3300,Provinsi Jawa Tengah,2011,569904851000.0
213,3300,Provinsi Jawa Tengah,2012,712000000000.0
214,3300,Provinsi Jawa Tengah,2013,800000000000.0
215,3300,Provinsi Jawa Tengah,2014,340000000000.0
216,3300,Provinsi Jawa Tengah,2015,660000000000.0
217,3300,Provinsi Jawa Tengah,2016,800000000000.0
218,3300,Provinsi Jawa Tengah,2017,504000000000.0
219,3300,Provinsi Jawa Tengah,2018,720000000000.0
220,3300,Provinsi Jawa Tengah,2019,706759423000.0
221,3300,Provinsi Jawa Tengah,2020,885499375000.0
222,3300,Provinsi Jawa Tengah,2021,890000000000.0
223,3300,Provinsi Jawa Tengah,2022,2068128777000.0
224,3300,Provinsi Jawa Tengah,2023,1312200000000.0
225,3300,Provinsi Jawa Tengah,2024,1157706616000.0
226,3300,Provinsi Jawa Tengah,2025,502300000000.0
227,3500,Provinsi Jawa Timur,2005,194079080000.00003
228,3500,Provinsi Jawa Timur,2006,685322750000.0
229,3500,Provinsi Jawa Timur,2007,463707440845.0
230,3500,Provinsi Jawa Timur,2008,843398029513.0
231,3500,Provinsi Jawa Timur,2009,570668000000.0
232,3500,Provinsi Jawa Timur,2010,627203891168.0
233,3500,Provinsi Jawa Timur,2011,996410360867.0
234,3500,Provinsi Jawa Timur,2012,908233333334.0
235,3500,Provinsi Jawa Timur,2013,1376156924240.0
236,3500,Provinsi Jawa Timur,2014,976723965334.0
237,3500,Provinsi Jawa Timur,2015,1528848704229.0
238,3500,Provinsi Jawa Timur,2016,1804332267072.0
239,3500,Provinsi Jawa Timur,2017,1123333333334.0
240,3500,Provinsi Jawa Timur,2018,1750811750066.0
241,3500,Provinsi Jawa Timur,2019,2240431069216.89
242,3500,Provinsi Jawa Timur,2020,2239818389624.0
243,3500,Provinsi Jawa Timur,2021,1869941515554.0
244,3500,Provinsi Jawa Timur,2022,1849448390000.0
245,3500,Provinsi Jawa Timur,2023,2545732817000.0
246,3500,Provinsi Jawa Timur,2024,1865210517337.0
247,3500,Provinsi Jawa Timur,2025,1793711551091.0
248,6100,Provinsi Kalimantan Barat,2005,50000000000.0
249,6100,Provinsi Kalimantan Barat,2006,65000000000.0
250,6100,Provinsi Kalimantan Barat,2007,0.0
251,6100,Provinsi Kalimantan Barat,2008,12622250000.0
252,6100,Provinsi Kalimantan Barat,2009,50000000000.0
253,6100,Provinsi Kalimantan Barat,2010,155480089445.18
254,6100,Provinsi Kalimantan Barat,2011,185000000000.0
255,6100,Provinsi Kalimantan Barat,2012,165000000000.0
256,6100,Provinsi Kalimantan Barat,2013,210000000000.0
257,6100,Provinsi Kalimantan Barat,2014,175000000000.0
258,6100,Provinsi Kalimantan Barat,2015,150000000000.0
259,6100,Provinsi Kalimantan Barat,2016,180000000000.0
260,6100,Provinsi Kalimantan Barat,2017,200000000000.0
261,6100,Provinsi Kalimantan Barat,2018,455870000000.0
262,6100,Provinsi Kalimantan Barat,2019,150000000000.0
263,6100,Provinsi Kalimantan Barat,2020,350000000000.0
264,6100,Provinsi Kalimantan Barat,2021,465000000000.0
265,6100,Provinsi Kalimantan Barat,2022,391483529424.0
266,6100,Provinsi Kalimantan Barat,2023,369141001172.0
267,6100,Provinsi Kalimantan Barat,2024,415310213794.0
268,6100,Provinsi Kalimantan Barat,2025,250000000000.0
269,6300,Provinsi Kalimantan Selatan,2005,112550000000.0
270,6300,Provinsi Kalimantan Selatan,2006,134517850000.0
271,6300,Provinsi Kalimantan Selatan,2007,80900000000.0
272,6300,Provinsi Kalimantan Selatan,2008,111059000000.0
273,6300,Provinsi Kalimantan Selatan,2009,121000000000.0
274,6300,Provinsi Kalimantan Selatan,2010,255747000000.0
275,6300,Provinsi Kalimantan Selatan,2011,322000000000.0
276,6300,Provinsi Kalimantan Selatan,2012,239000000000.0
277,6300,Provinsi Kalimantan Selatan,2013,443000000000.0
278,6300,Provinsi Kalimantan Selatan,2014,745000000000.0
279,6300,Provinsi Kalimantan Selatan,2015,597000000000.0
280,6300,Provinsi Kalimantan Selatan,2016,231000000000.0
