,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2007,3165343782173.0
1,1100,Provinsi Aceh,2008,6644765416264.0
2,1100,Provinsi Aceh,2009,6732212000000.0
3,1100,Provinsi Aceh,2010,6244669139164.0
4,1100,Provinsi Aceh,2011,7089389677661.0
5,1100,Provinsi Aceh,2012,8714808324801.0
6,1100,Provinsi Aceh,2013,10111367470983.0
7,1100,Provinsi Aceh,2014,11164408627448.0
8,1100,Provinsi Aceh,2015,12010742783065.0
9,1100,Provinsi Aceh,2016,12551166051800.0
10,1100,Provinsi Aceh,2017,14291939315863.0
11,1100,Provinsi Aceh,2018,14622475324280.0
12,1100,Provinsi Aceh,2019,15523728692158.0
13,1100,Provinsi Aceh,2020,15457220461974.0
14,1100,Provinsi Aceh,2021,14183394212942.0
15,1100,Provinsi Aceh,2022,13352983387589.0
16,1100,Provinsi Aceh,2023,10186819912074.0
17,1100,Provinsi Aceh,2024,11024052017694.0
18,1100,Provinsi Aceh,2025,10796565460935.0
19,5100,Provinsi Bali,2005,809205130000.0
20,5100,Provinsi Bali,2006,1151142400000.0
21,5100,Provinsi Bali,2007,1219347800000.0
22,5100,Provinsi Bali,2008,1288985862000.0
23,5100,Provinsi Bali,2009,1409542000000.0
24,5100,Provinsi Bali,2010,1834883085610.0
25,5100,Provinsi Bali,2011,2143520231927.0
26,5100,Provinsi Bali,2012,3249750720781.0
27,5100,Provinsi Bali,2013,3568392989918.27
28,5100,Provinsi Bali,2014,3958173007551.4
29,5100,Provinsi Bali,2015,4608618711976.0
30,5100,Provinsi Bali,2016,5376044679940.33
31,5100,Provinsi Bali,2017,6222703627308.0
32,5100,Provinsi Bali,2018,5980912107128.0
33,5100,Provinsi Bali,2019,6323498505003.0
34,5100,Provinsi Bali,2020,6605532354231.0
35,5100,Provinsi Bali,2021,6035277798137.0
36,5100,Provinsi Bali,2022,5044664586100.0
37,5100,Provinsi Bali,2023,6933947319883.0
38,5100,Provinsi Bali,2024,6354200071179.0
