id_var,variable,id_tur_var,turunan variable,2020
1100,ACEH,583,Laki-Laki,2647563
1100,ACEH,584,Perempuan,2627308
1100,ACEH,585,Jumlah ,5274871
1200,SUMATERA UTARA,583,Laki-Laki,7422046
1200,SUMATERA UTARA,584,Perempuan,7377315
1200,SUMATERA UTARA,585,Jumlah ,14799361
1300,SUMATERA BARAT,583,Laki-Laki,2786360
1300,SUMATERA BARAT,584,Perempuan,2748112
1300,SUMATERA BARAT,585,Jumlah ,5534472
1400,RIAU,583,Laki-Laki,3276658
1400,RIAU,584,Perempuan,3117429
1400,RIAU,585,Jumlah ,6394087
1500,JAMBI,583,Laki-Laki,1810015
1500,JAMBI,584,Perempuan,1738213
1500,JAMBI,585,Jumlah ,3548228
1600,SUMATERA SELATAN,583,Laki-Laki,4320078
1600,SUMATERA SELATAN,584,Perempuan,4147354
1600,SUMATERA SELATAN,585,Jumlah ,8467432
1700,BENGKULU,583,Laki-Laki,1029137
1700,BENGKULU,584,Perempuan,981533
1700,BENGKULU,585,Jumlah ,2010670
1800,LAMPUNG,583,Laki-Laki,4616805
1800,LAMPUNG,584,Perempuan,4391043
1800,LAMPUNG,585,Jumlah ,9007848
1900,KEP. BANGKA BELITUNG,583,Laki-Laki,749548
1900,KEP. BANGKA BELITUNG,584,Perempuan,706130
1900,KEP. BANGKA BELITUNG,585,Jumlah ,1455678
2100,KEP. RIAU,583,Laki-Laki,1053296
2100,KEP. RIAU,584,Perempuan,1011268
2100,KEP. RIAU,585,Jumlah ,2064564
3100,DKI JAKARTA,583,Laki-Laki,5334781
3100,DKI JAKARTA,584,Perempuan,5227307
3100,DKI JAKARTA,585,Jumlah ,10562088
3200,JAWA BARAT,583,Laki-Laki,24508885
3200,JAWA BARAT,584,Perempuan,23765277
3200,JAWA BARAT,585,Jumlah ,48274162
3300,JAWA TENGAH,583,Laki-Laki,18362143
3300,JAWA TENGAH,584,Perempuan,18153892
3300,JAWA TENGAH,585,Jumlah ,36516035
3400,DI YOGYAKARTA,583,Laki-Laki,1817927
3400,DI YOGYAKARTA,584,Perempuan,1850792
3400,DI YOGYAKARTA,585,Jumlah ,3668719
3500,JAWA TIMUR,583,Laki-Laki,20291592
3500,JAWA TIMUR,584,Perempuan,20374104
3500,JAWA TIMUR,585,Jumlah ,40665696
3600,BANTEN,583,Laki-Laki,6070271
3600,BANTEN,584,Perempuan,5834291
3600,BANTEN,585,Jumlah ,11904562
5100,BALI,583,Laki-Laki,2171105
5100,BALI,584,Perempuan,2146299
5100,BALI,585,Jumlah ,4317404
5200,NUSA TENGGARA BARAT,583,Laki-Laki,2656208
5200,NUSA TENGGARA BARAT,584,Perempuan,2663884
5200,NUSA TENGGARA BARAT,585,Jumlah ,5320092
5300,NUSA TENGGARA TIMUR,583,Laki-Laki,2663771
5300,NUSA TENGGARA TIMUR,584,Perempuan,2661795
5300,NUSA TENGGARA TIMUR,585,Jumlah ,5325566
6100,KALIMANTAN BARAT,583,Laki-Laki,2784113
6100,KALIMANTAN BARAT,584,Perempuan,2630277
