,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2019,660687022327.0
1,5100,Provinsi Bali,2019,125816906823.0
2,1900,Provinsi Bangka Belitung,2019,288642774085.0
3,3600,Provinsi Banten,2019,303851662682.0
4,1700,Provinsi Bengkulu,2019,309772856196.0
5,3400,Provinsi DI Yogyakarta,2019,229134288292.0
6,3100,Provinsi DKI Jakarta,2019,12044951400.0
7,7500,Provinsi Gorontalo,2019,213263117406.0
8,1500,Provinsi Jambi,2019,355137169209.0
9,3200,Provinsi Jawa Barat,2019,1296312069896.0
10,9700,Provinsi Jawa Tengah,2019,566857508252.0
11,9600,Provinsi Jawa Tengah,2019,566857508252.0
12,3300,Provinsi Jawa Tengah,2019,566857508252.0
13,3500,Provinsi Jawa Timur,2019,1084869273394.0
14,6100,Provinsi Kalimantan Barat,2019,652568655283.0
15,6300,Provinsi Kalimantan Selatan,2019,450568129272.0
16,9500,Provinsi Kalimantan Selatan,2019,450568129272.0
17,6200,Provinsi Kalimantan Tengah,2019,419029243682.0
18,6400,Provinsi Kalimantan Timur,2019,465343491036.0
19,6500,Provinsi Kalimantan Utara,2019,314180024126.0
20,2100,Provinsi Kepulauan Riau,2019,337801919734.0
21,1800,Provinsi Lampung,2019,594635707173.0
22,8100,Provinsi Maluku,2019,459997551029.0
23,8200,Provinsi Maluku Utara,2019,750520388428.0
24,5200,Provinsi Nusa Tenggara Barat,2019,891271712607.0
25,5300,Provinsi Nusa Tenggara Timur,2019,736435794971.0
26,9400,Provinsi Papua,2019,739176607221.0
27,9200,Provinsi Papua Barat,2019,395182239098.0
28,9100,Provinsi Papua Barat,2019,395182239098.0
29,1400,Provinsi Riau,2019,550202104331.0
30,7600,Provinsi Sulawesi Barat,2019,385291556610.0
31,7300,Provinsi Sulawesi Selatan,2019,651784252870.0
32,7200,Provinsi Sulawesi Tengah,2019,717966096001.0
33,7400,Provinsi Sulawesi Tenggara,2019,653575748225.0
34,7100,Provinsi Sulawesi Utara,2019,640972268600.0
35,1300,Provinsi Sumatera Barat,2019,515392630513.0
36,1600,Provinsi Sumatera Selatan,2019,499302499947.0
37,1200,Provinsi Sumatera Utara,2019,732540758956.0
38,1100,Provinsi Aceh,2020,585582873782.0
39,5100,Provinsi Bali,2020,137327278340.0
40,1900,Provinsi Bangka Belitung,2020,344279496295.0
41,3600,Provinsi Banten,2020,197193565765.0
42,1700,Provinsi Bengkulu,2020,276255212558.0
43,3400,Provinsi DI Yogyakarta,2020,250683306710.0
44,3100,Provinsi DKI Jakarta,2020,53349425000.0
45,7500,Provinsi Gorontalo,2020,179662218309.0
46,1500,Provinsi Jambi,2020,379698750433.0
47,3200,Provinsi Jawa Barat,2020,1684238572207.0
48,9700,Provinsi Jawa Tengah,2020,737449564958.0
49,9600,Provinsi Jawa Tengah,2020,737449564958.0
50,3300,Provinsi Jawa Tengah,2020,737449564958.0
51,3500,Provinsi Jawa Timur,2020,1206837974709.0
52,6100,Provinsi Kalimantan Barat,2020,642355042829.0
53,6300,Provinsi Kalimantan Selatan,2020,261192561307.0
54,9500,Provinsi Kalimantan Selatan,2020,261192561307.0
55,6200,Provinsi Kalimantan Tengah,2020,647988014787.0
56,6400,Provinsi Kalimantan Timur,2020,439781058256.0
57,6500,Provinsi Kalimantan Utara,2020,341370413969.0
58,2100,Provinsi Kepulauan Riau,2020,405079480915.0
59,1800,Provinsi Lampung,2020,537868777870.0
60,8100,Provinsi Maluku,2020,525479981651.0
61,8200,Provinsi Maluku Utara,2020,589664184806.0
62,5200,Provinsi Nusa Tenggara Barat,2020,731559512834.0
63,5300,Provinsi Nusa Tenggara Timur,2020,1089662307682.0
64,9400,Provinsi Papua,2020,629334850096.0
65,9200,Provinsi Papua Barat,2020,348601740850.0
66,9100,Provinsi Papua Barat,2020,348601740850.0
67,1400,Provinsi Riau,2020,515150020347.0
68,7600,Provinsi Sulawesi Barat,2020,500053502244.0
69,7300,Provinsi Sulawesi Selatan,2020,630055771412.0
70,7200,Provinsi Sulawesi Tengah,2020,780174400152.0
71,7400,Provinsi Sulawesi Tenggara,2020,549017662129.0
72,7100,Provinsi Sulawesi Utara,2020,616845644877.0
73,1300,Provinsi Sumatera Barat,2020,633113189501.0
74,1600,Provinsi Sumatera Selatan,2020,410791947552.0
75,1200,Provinsi Sumatera Utara,2020,700166692125.0
76,1100,Provinsi Aceh,2021,606662099176.0
77,5100,Provinsi Bali,2021,242678015022.0
78,1900,Provinsi Bangka Belitung,2021,293699271670.0
79,3600,Provinsi Banten,2021,253683353760.0
80,1700,Provinsi Bengkulu,2021,373985337118.0
81,3400,Provinsi DI Yogyakarta,2021,297018619001.0
82,3100,Provinsi DKI Jakarta,2021,105850911417.0
83,7500,Provinsi Gorontalo,2021,253904817374.0
84,1500,Provinsi Jambi,2021,402940309982.0
85,3200,Provinsi Jawa Barat,2021,1217960856406.0
86,9700,Provinsi Jawa Tengah,2021,865127120398.0
87,9600,Provinsi Jawa Tengah,2021,865127120398.0
88,3300,Provinsi Jawa Tengah,2021,865127120398.0
89,3500,Provinsi Jawa Timur,2021,1594468202095.0
90,6100,Provinsi Kalimantan Barat,2021,772149093250.0
91,6300,Provinsi Kalimantan Selatan,2021,490410964789.0
92,9500,Provinsi Kalimantan Selatan,2021,490410964789.0
93,6200,Provinsi Kalimantan Tengah,2021,592743172344.0
94,6400,Provinsi Kalimantan Timur,2021,563988099385.0
95,6500,Provinsi Kalimantan Utara,2021,284017814216.0
96,2100,Provinsi Kepulauan Riau,2021,369136459639.0
97,1800,Provinsi Lampung,2021,640454989613.0
98,8100,Provinsi Maluku,2021,752622507186.0
99,8200,Provinsi Maluku Utara,2021,700415752715.0
100,5200,Provinsi Nusa Tenggara Barat,2021,739825441817.0
101,5300,Provinsi Nusa Tenggara Timur,2021,874427706643.0
102,9400,Provinsi Papua,2021,720316917826.0
103,9200,Provinsi Papua Barat,2021,485491227935.0
104,9100,Provinsi Papua Barat,2021,485491227935.0
105,1400,Provinsi Riau,2021,562898574389.0
106,7600,Provinsi Sulawesi Barat,2021,436548616547.0
107,7300,Provinsi Sulawesi Selatan,2021,799577148508.0
108,7200,Provinsi Sulawesi Tengah,2021,768618482276.0
109,7400,Provinsi Sulawesi Tenggara,2021,677723382371.0
110,7100,Provinsi Sulawesi Utara,2021,545335314730.0
111,1300,Provinsi Sumatera Barat,2021,515317500686.0
112,1600,Provinsi Sumatera Selatan,2021,463245500267.0
113,1200,Provinsi Sumatera Utara,2021,612849232554.0
114,1100,Provinsi Aceh,2022,546242865947.0
115,5100,Provinsi Bali,2022,150817941735.0
116,1900,Provinsi Bangka Belitung,2022,280060009344.0
117,3600,Provinsi Banten,2022,289268244613.0
118,1700,Provinsi Bengkulu,2022,424958003398.0
119,3400,Provinsi DI Yogyakarta,2022,280943904469.0
120,3100,Provinsi DKI Jakarta,2022,71418611188.0
121,7500,Provinsi Gorontalo,2022,296846257522.0
122,1500,Provinsi Jambi,2022,448200103641.0
123,3200,Provinsi Jawa Barat,2022,1213840451009.0
124,9700,Provinsi Jawa Tengah,2022,825973480185.0
125,9600,Provinsi Jawa Tengah,2022,825973480185.0
126,3300,Provinsi Jawa Tengah,2022,825973480185.0
127,3500,Provinsi Jawa Timur,2022,1151746631881.0
