,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2019,2916825745720.0
1,5100,Provinsi Bali,2019,2129043417237.0
2,1900,Provinsi Bangka Belitung,2019,716966845548.0
3,3600,Provinsi Banten,2019,4846131843394.0
4,1700,Provinsi Bengkulu,2019,1136403409694.0
5,3400,Provinsi DI Yogyakarta,2019,1789341730777.0
6,3100,Provinsi DKI Jakarta,2019,6003651534902.0
7,7500,Provinsi Gorontalo,2019,684574211918.0
8,1500,Provinsi Jambi,2019,1809301200671.0
9,3200,Provinsi Jawa Barat,2019,19228657496488.0
10,9700,Provinsi Jawa Tengah,2019,13641280139168.0
11,9600,Provinsi Jawa Tengah,2019,13641280139168.0
12,3300,Provinsi Jawa Tengah,2019,13641280139168.0
13,3500,Provinsi Jawa Timur,2019,14445697710211.0
14,6100,Provinsi Kalimantan Barat,2019,2770801214711.0
15,6300,Provinsi Kalimantan Selatan,2019,1817711415596.0
16,9500,Provinsi Kalimantan Selatan,2019,1817711415596.0
17,6200,Provinsi Kalimantan Tengah,2019,1547958686116.0
18,6400,Provinsi Kalimantan Timur,2019,1899816705302.0
19,6500,Provinsi Kalimantan Utara,2019,385923432713.0
20,2100,Provinsi Kepulauan Riau,2019,975900690756.0
21,1800,Provinsi Lampung,2019,3800264215021.0
22,8100,Provinsi Maluku,2019,1268597224555.0
23,8200,Provinsi Maluku Utara,2019,838402755432.0
24,5200,Provinsi Nusa Tenggara Barat,2019,2354451726130.0
25,5300,Provinsi Nusa Tenggara Timur,2019,3669965841304.0
26,9400,Provinsi Papua,2019,1726600918281.0
27,9200,Provinsi Papua Barat,2019,640536571436.0
28,9100,Provinsi Papua Barat,2019,640536571436.0
29,1400,Provinsi Riau,2019,3379285641279.0
30,7600,Provinsi Sulawesi Barat,2019,806484786480.0
31,7300,Provinsi Sulawesi Selatan,2019,4833939567842.0
32,7200,Provinsi Sulawesi Tengah,2019,1755828164301.0
33,7400,Provinsi Sulawesi Tenggara,2019,1817149315230.0
34,7100,Provinsi Sulawesi Utara,2019,1525665719008.0
35,1300,Provinsi Sumatera Barat,2019,3302624310498.0
36,1600,Provinsi Sumatera Selatan,2019,4133363922477.0
37,1200,Provinsi Sumatera Utara,2019,8022830232404.0
38,1100,Provinsi Aceh,2020,3046135963680.0
39,5100,Provinsi Bali,2020,2206529233155.0
40,1900,Provinsi Bangka Belitung,2020,751280338310.0
41,3600,Provinsi Banten,2020,5113492897000.0
42,1700,Provinsi Bengkulu,2020,1199198541052.0
43,3400,Provinsi DI Yogyakarta,2020,1829378102978.0
44,3100,Provinsi DKI Jakarta,2020,6635007677566.0
45,7500,Provinsi Gorontalo,2020,717948774922.0
46,1500,Provinsi Jambi,2020,1882741176038.0
47,3200,Provinsi Jawa Barat,2020,20388332125642.0
48,9700,Provinsi Jawa Tengah,2020,14062949331700.0
49,9600,Provinsi Jawa Tengah,2020,14062949331700.0
50,3300,Provinsi Jawa Tengah,2020,14062949331700.0
51,3500,Provinsi Jawa Timur,2020,14926633824315.0
52,6100,Provinsi Kalimantan Barat,2020,2924509886438.0
53,6300,Provinsi Kalimantan Selatan,2020,1931448662368.0
54,9500,Provinsi Kalimantan Selatan,2020,1931448662368.0
55,6200,Provinsi Kalimantan Tengah,2020,1533964711448.0
56,6400,Provinsi Kalimantan Timur,2020,2017266886598.0
57,6500,Provinsi Kalimantan Utara,2020,412766537642.0
58,2100,Provinsi Kepulauan Riau,2020,1054344624000.0
59,1800,Provinsi Lampung,2020,3970333578102.0
60,8100,Provinsi Maluku,2020,1310130757222.0
61,8200,Provinsi Maluku Utara,2020,869034532000.0
62,5200,Provinsi Nusa Tenggara Barat,2020,2502991002746.0
63,5300,Provinsi Nusa Tenggara Timur,2020,3736155138000.0
64,9400,Provinsi Papua,2020,1689131774000.0
65,9200,Provinsi Papua Barat,2020,666133054000.0
66,9100,Provinsi Papua Barat,2020,666133054000.0
67,1400,Provinsi Riau,2020,3516955912000.0
68,7600,Provinsi Sulawesi Barat,2020,838528674552.0
69,7300,Provinsi Sulawesi Selatan,2020,4990355126820.0
70,7200,Provinsi Sulawesi Tengah,2020,1810148903164.0
71,7400,Provinsi Sulawesi Tenggara,2020,1893865926000.0
72,7100,Provinsi Sulawesi Utara,2020,1558851419448.0
73,1300,Provinsi Sumatera Barat,2020,3418591333618.0
74,1600,Provinsi Sumatera Selatan,2020,4307305098000.0
75,1200,Provinsi Sumatera Utara,2020,8239910780000.0
76,1100,Provinsi Aceh,2021,2892836035000.0
77,5100,Provinsi Bali,2021,2517559585065.0
78,1900,Provinsi Bangka Belitung,2021,694955356000.0
