,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2019,4644533012000.0
1,5100,Provinsi Bali,2019,2651695110000.0
2,1900,Provinsi Bangka Belitung,2019,2104171444000.0
3,3600,Provinsi Banten,2019,2438773518000.0
4,1700,Provinsi Bengkulu,2019,2668356780000.0
5,3400,Provinsi DI Yogyakarta,2019,2702204040000.0
6,3100,Provinsi DKI Jakarta,2019,966135940000.0
7,7500,Provinsi Gorontalo,2019,2120677134000.0
8,1500,Provinsi Jambi,2019,2880843590000.0
9,3200,Provinsi Jawa Barat,2019,6425294808000.0
10,9700,Provinsi Jawa Tengah,2019,7732783936000.0
11,9600,Provinsi Jawa Tengah,2019,7732783936000.0
12,3300,Provinsi Jawa Tengah,2019,7732783936000.0
13,3500,Provinsi Jawa Timur,2019,7996863430000.0
14,6100,Provinsi Kalimantan Barat,2019,3512139368000.0
15,6300,Provinsi Kalimantan Selatan,2019,2380265692000.0
16,9500,Provinsi Kalimantan Selatan,2019,2380265692000.0
17,6200,Provinsi Kalimantan Tengah,2019,3221094690000.0
18,6400,Provinsi Kalimantan Timur,2019,1633450302000.0
19,6500,Provinsi Kalimantan Utara,2019,2419177280000.0
20,2100,Provinsi Kepulauan Riau,2019,2380115192000.0
21,1800,Provinsi Lampung,2019,3854025426000.0
22,8100,Provinsi Maluku,2019,3402927130000.0
23,8200,Provinsi Maluku Utara,2019,2715207710000.0
24,5200,Provinsi Nusa Tenggara Barat,2019,3189125202000.0
25,5300,Provinsi Nusa Tenggara Timur,2019,3758134462000.0
26,9400,Provinsi Papua,2019,5233090762000.0
27,9200,Provinsi Papua Barat,2019,2927245568000.0
28,9100,Provinsi Papua Barat,2019,2927245568000.0
29,1400,Provinsi Riau,2019,3097157856000.0
30,7600,Provinsi Sulawesi Barat,2019,2128137456000.0
31,7300,Provinsi Sulawesi Selatan,2019,5172624684000.0
32,7200,Provinsi Sulawesi Tengah,2019,3298241090000.0
33,7400,Provinsi Sulawesi Tenggara,2019,3236021526000.0
34,7100,Provinsi Sulawesi Utara,2019,2950960440000.0
35,1300,Provinsi Sumatera Barat,2019,4152851482000.0
36,1600,Provinsi Sumatera Selatan,2019,3550848754000.0
37,1200,Provinsi Sumatera Utara,2019,5509156266000.0
38,1100,Provinsi Aceh,2020,3917826806000.0
39,5100,Provinsi Bali,2020,2415692314000.0
40,1900,Provinsi Bangka Belitung,2020,1886290642000.0
41,3600,Provinsi Banten,2020,2092127222000.0
42,1700,Provinsi Bengkulu,2020,2443290762000.0
43,3400,Provinsi DI Yogyakarta,2020,2462164002000.0
44,3100,Provinsi DKI Jakarta,2020,0.0
45,7500,Provinsi Gorontalo,2020,1890723070000.0
46,1500,Provinsi Jambi,2020,2580342034000.0
47,3200,Provinsi Jawa Barat,2020,5958956880000.0
48,9700,Provinsi Jawa Tengah,2020,6898774342000.0
49,9600,Provinsi Jawa Tengah,2020,6898774342000.0
50,3300,Provinsi Jawa Tengah,2020,6898774342000.0
51,3500,Provinsi Jawa Timur,2020,7342077438000.0
52,6100,Provinsi Kalimantan Barat,2020,3132345092000.0
53,6300,Provinsi Kalimantan Selatan,2020,2186833128000.0
54,9500,Provinsi Kalimantan Selatan,2020,2186833128000.0
