,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2019,1311484306531.0
1,5100,Provinsi Bali,2019,288974138381.0
2,1900,Provinsi Bangka Belitung,2019,509759781577.0
3,3600,Provinsi Banten,2019,1188974688137.0
4,1700,Provinsi Bengkulu,2019,140749704833.0
5,3400,Provinsi DI Yogyakarta,2019,136239293764.0
6,3100,Provinsi DKI Jakarta,2019,26124280520785.0
7,7500,Provinsi Gorontalo,2019,39484776458.0
8,1500,Provinsi Jambi,2019,850901740294.0
9,3200,Provinsi Jawa Barat,2019,3308885704782.0
10,9700,Provinsi Jawa Tengah,2019,1365224796812.0
11,9600,Provinsi Jawa Tengah,2019,1365224796812.0
12,3300,Provinsi Jawa Tengah,2019,1365224796812.0
13,3500,Provinsi Jawa Timur,2019,5203125648636.0
14,6100,Provinsi Kalimantan Barat,2019,405872519663.0
15,6300,Provinsi Kalimantan Selatan,2019,2338379008749.0
16,9500,Provinsi Kalimantan Selatan,2019,2338379008749.0
17,6200,Provinsi Kalimantan Tengah,2019,1415000927972.0
18,6400,Provinsi Kalimantan Timur,2019,7823648448483.0
19,6500,Provinsi Kalimantan Utara,2019,870696342331.0
20,2100,Provinsi Kepulauan Riau,2019,1633943441368.0
21,1800,Provinsi Lampung,2019,302791611982.0
22,8100,Provinsi Maluku,2019,174440272514.0
23,8200,Provinsi Maluku Utara,2019,229806553335.0
24,5200,Provinsi Nusa Tenggara Barat,2019,399253141217.0
25,5300,Provinsi Nusa Tenggara Timur,2019,96347859510.0
26,9400,Provinsi Papua,2019,1504861345197.0
27,9200,Provinsi Papua Barat,2019,10809553157777.0
28,9100,Provinsi Papua Barat,2019,10809553157777.0
29,1400,Provinsi Riau,2019,3776682104891.0
30,7600,Provinsi Sulawesi Barat,2019,29088709781.0
31,7300,Provinsi Sulawesi Selatan,2019,408703674299.0
32,7200,Provinsi Sulawesi Tengah,2019,328364211405.0
33,7400,Provinsi Sulawesi Tenggara,2019,304648098927.0
34,7100,Provinsi Sulawesi Utara,2019,220047980754.0
35,1300,Provinsi Sumatera Barat,2019,241866196077.0
36,1600,Provinsi Sumatera Selatan,2019,3730977584768.0
37,1200,Provinsi Sumatera Utara,2019,861958139657.0
38,1100,Provinsi Aceh,2020,1143201715090.0
39,5100,Provinsi Bali,2020,413944600282.0
40,1900,Provinsi Bangka Belitung,2020,258313612762.0
41,3600,Provinsi Banten,2020,1403880575442.0
42,1700,Provinsi Bengkulu,2020,146371949628.0
43,3400,Provinsi DI Yogyakarta,2020,231947685267.0
44,3100,Provinsi DKI Jakarta,2020,28019715152672.0
45,7500,Provinsi Gorontalo,2020,44921117657.0
46,1500,Provinsi Jambi,2020,890839357163.0
47,3200,Provinsi Jawa Barat,2020,4142234705249.0
48,9700,Provinsi Jawa Tengah,2020,1758698621953.0
49,9600,Provinsi Jawa Tengah,2020,1758698621953.0
50,3300,Provinsi Jawa Tengah,2020,1758698621953.0
51,3500,Provinsi Jawa Timur,2020,4452003896820.0
52,6100,Provinsi Kalimantan Barat,2020,396527099733.0
53,6300,Provinsi Kalimantan Selatan,2020,2504807580180.0
54,9500,Provinsi Kalimantan Selatan,2020,2504807580180.0
