,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2019,
1,5100,Provinsi Bali,2019,
2,1900,Provinsi Bangka Belitung,2019,
3,3600,Provinsi Banten,2019,
4,1700,Provinsi Bengkulu,2019,
5,3400,Provinsi DI Yogyakarta,2019,
6,3100,Provinsi DKI Jakarta,2019,
7,7500,Provinsi Gorontalo,2019,
8,1500,Provinsi Jambi,2019,
9,3200,Provinsi Jawa Barat,2019,
10,9700,Provinsi Jawa Tengah,2019,
11,9600,Provinsi Jawa Tengah,2019,
12,3300,Provinsi Jawa Tengah,2019,
13,3500,Provinsi Jawa Timur,2019,
14,6100,Provinsi Kalimantan Barat,2019,
15,6300,Provinsi Kalimantan Selatan,2019,
16,9500,Provinsi Kalimantan Selatan,2019,
17,6200,Provinsi Kalimantan Tengah,2019,
18,6400,Provinsi Kalimantan Timur,2019,
19,6500,Provinsi Kalimantan Utara,2019,
20,2100,Provinsi Kepulauan Riau,2019,
21,1800,Provinsi Lampung,2019,
22,8100,Provinsi Maluku,2019,
23,8200,Provinsi Maluku Utara,2019,
24,5200,Provinsi Nusa Tenggara Barat,2019,
25,5300,Provinsi Nusa Tenggara Timur,2019,
26,9400,Provinsi Papua,2019,
27,9200,Provinsi Papua Barat,2019,
28,9100,Provinsi Papua Barat,2019,
29,1400,Provinsi Riau,2019,
30,7600,Provinsi Sulawesi Barat,2019,
31,7300,Provinsi Sulawesi Selatan,2019,
32,7200,Provinsi Sulawesi Tengah,2019,
33,7400,Provinsi Sulawesi Tenggara,2019,
34,7100,Provinsi Sulawesi Utara,2019,
35,1300,Provinsi Sumatera Barat,2019,
36,1600,Provinsi Sumatera Selatan,2019,
37,1200,Provinsi Sumatera Utara,2019,
38,1100,Provinsi Aceh,2020,
39,5100,Provinsi Bali,2020,
40,1900,Provinsi Bangka Belitung,2020,
41,3600,Provinsi Banten,2020,
42,1700,Provinsi Bengkulu,2020,
43,3400,Provinsi DI Yogyakarta,2020,
44,3100,Provinsi DKI Jakarta,2020,
45,7500,Provinsi Gorontalo,2020,
46,1500,Provinsi Jambi,2020,
47,3200,Provinsi Jawa Barat,2020,
48,9700,Provinsi Jawa Tengah,2020,
49,9600,Provinsi Jawa Tengah,2020,
50,3300,Provinsi Jawa Tengah,2020,
51,3500,Provinsi Jawa Timur,2020,
52,6100,Provinsi Kalimantan Barat,2020,
53,6300,Provinsi Kalimantan Selatan,2020,
54,9500,Provinsi Kalimantan Selatan,2020,
55,6200,Provinsi Kalimantan Tengah,2020,
56,6400,Provinsi Kalimantan Timur,2020,
57,6500,Provinsi Kalimantan Utara,2020,
58,2100,Provinsi Kepulauan Riau,2020,
59,1800,Provinsi Lampung,2020,
60,8100,Provinsi Maluku,2020,
61,8200,Provinsi Maluku Utara,2020,
62,5200,Provinsi Nusa Tenggara Barat,2020,
63,5300,Provinsi Nusa Tenggara Timur,2020,
64,9400,Provinsi Papua,2020,
65,9200,Provinsi Papua Barat,2020,
66,9100,Provinsi Papua Barat,2020,
67,1400,Provinsi Riau,2020,
68,7600,Provinsi Sulawesi Barat,2020,
69,7300,Provinsi Sulawesi Selatan,2020,
70,7200,Provinsi Sulawesi Tengah,2020,
71,7400,Provinsi Sulawesi Tenggara,2020,
72,7100,Provinsi Sulawesi Utara,2020,
73,1300,Provinsi Sumatera Barat,2020,
74,1600,Provinsi Sumatera Selatan,2020,
75,1200,Provinsi Sumatera Utara,2020,
76,1100,Provinsi Aceh,2021,
77,5100,Provinsi Bali,2021,
78,1900,Provinsi Bangka Belitung,2021,
79,3600,Provinsi Banten,2021,
80,1700,Provinsi Bengkulu,2021,
81,3400,Provinsi DI Yogyakarta,2021,
82,3100,Provinsi DKI Jakarta,2021,
83,7500,Provinsi Gorontalo,2021,
84,1500,Provinsi Jambi,2021,
85,3200,Provinsi Jawa Barat,2021,
86,9700,Provinsi Jawa Tengah,2021,
87,9600,Provinsi Jawa Tengah,2021,
88,3300,Provinsi Jawa Tengah,2021,
89,3500,Provinsi Jawa Timur,2021,
90,6100,Provinsi Kalimantan Barat,2021,
91,6300,Provinsi Kalimantan Selatan,2021,
92,9500,Provinsi Kalimantan Selatan,2021,
93,6200,Provinsi Kalimantan Tengah,2021,
94,6400,Provinsi Kalimantan Timur,2021,
95,6500,Provinsi Kalimantan Utara,2021,
96,2100,Provinsi Kepulauan Riau,2021,
97,1800,Provinsi Lampung,2021,
98,8100,Provinsi Maluku,2021,
99,8200,Provinsi Maluku Utara,2021,
100,5200,Provinsi Nusa Tenggara Barat,2021,
101,5300,Provinsi Nusa Tenggara Timur,2021,
102,9400,Provinsi Papua,2021,
103,9200,Provinsi Papua Barat,2021,
104,9100,Provinsi Papua Barat,2021,
105,1400,Provinsi Riau,2021,
106,7600,Provinsi Sulawesi Barat,2021,
107,7300,Provinsi Sulawesi Selatan,2021,
108,7200,Provinsi Sulawesi Tengah,2021,
109,7400,Provinsi Sulawesi Tenggara,2021,
110,7100,Provinsi Sulawesi Utara,2021,
111,1300,Provinsi Sumatera Barat,2021,
112,1600,Provinsi Sumatera Selatan,2021,
113,1200,Provinsi Sumatera Utara,2021,
114,1100,Provinsi Aceh,2022,
115,5100,Provinsi Bali,2022,
116,1900,Provinsi Bangka Belitung,2022,
117,3600,Provinsi Banten,2022,
118,1700,Provinsi Bengkulu,2022,
119,3400,Provinsi DI Yogyakarta,2022,
120,3100,Provinsi DKI Jakarta,2022,
121,7500,Provinsi Gorontalo,2022,
122,1500,Provinsi Jambi,2022,
123,3200,Provinsi Jawa Barat,2022,
124,9700,Provinsi Jawa Tengah,2022,
125,9600,Provinsi Jawa Tengah,2022,
126,3300,Provinsi Jawa Tengah,2022,
127,3500,Provinsi Jawa Timur,2022,
128,6100,Provinsi Kalimantan Barat,2022,
129,6300,Provinsi Kalimantan Selatan,2022,
130,9500,Provinsi Kalimantan Selatan,2022,
131,6200,Provinsi Kalimantan Tengah,2022,
132,6400,Provinsi Kalimantan Timur,2022,
133,6500,Provinsi Kalimantan Utara,2022,
134,2100,Provinsi Kepulauan Riau,2022,
135,1800,Provinsi Lampung,2022,
136,8100,Provinsi Maluku,2022,
137,8200,Provinsi Maluku Utara,2022,
138,5200,Provinsi Nusa Tenggara Barat,2022,
139,5300,Provinsi Nusa Tenggara Timur,2022,
140,9400,Provinsi Papua,2022,
141,9200,Provinsi Papua Barat,2022,
142,9100,Provinsi Papua Barat,2022,
143,1400,Provinsi Riau,2022,
144,7600,Provinsi Sulawesi Barat,2022,
145,7300,Provinsi Sulawesi Selatan,2022,
146,7200,Provinsi Sulawesi Tengah,2022,
147,7400,Provinsi Sulawesi Tenggara,2022,
148,7100,Provinsi Sulawesi Utara,2022,
149,1300,Provinsi Sumatera Barat,2022,
150,1600,Provinsi Sumatera Selatan,2022,
151,1200,Provinsi Sumatera Utara,2022,
152,1100,Provinsi Aceh,2023,2805402550.0
153,5100,Provinsi Bali,2023,0.0
154,1900,Provinsi Bangka Belitung,2023,0.0
155,3600,Provinsi Banten,2023,0.0
156,1700,Provinsi Bengkulu,2023,0.0
157,3400,Provinsi DI Yogyakarta,2023,0.0
158,3100,Provinsi DKI Jakarta,2023,1422476743385.0
159,7500,Provinsi Gorontalo,2023,1913584565.0
160,1500,Provinsi Jambi,2023,43382556476.0
161,3200,Provinsi Jawa Barat,2023,7752000.0
162,9700,Provinsi Jawa Tengah,2023,88111462619.0
163,9600,Provinsi Jawa Tengah,2023,88111462619.0
164,3300,Provinsi Jawa Tengah,2023,88111462619.0
165,3500,Provinsi Jawa Timur,2023,32415000.0
166,6100,Provinsi Kalimantan Barat,2023,67077758064.0
167,6300,Provinsi Kalimantan Selatan,2023,1525395700.0
168,9500,Provinsi Kalimantan Selatan,2023,1525395700.0
169,6200,Provinsi Kalimantan Tengah,2023,0.0
170,6400,Provinsi Kalimantan Timur,2023,0.0
171,6500,Provinsi Kalimantan Utara,2023,0.0
172,2100,Provinsi Kepulauan Riau,2023,0.0
173,1800,Provinsi Lampung,2023,1101074000.0
174,8100,Provinsi Maluku,2023,0.0
175,8200,Provinsi Maluku Utara,2023,0.0
176,5200,Provinsi Nusa Tenggara Barat,2023,902644268.0
177,5300,Provinsi Nusa Tenggara Timur,2023,2539770449.0
178,9400,Provinsi Papua,2023,0.0
179,9200,Provinsi Papua Barat,2023,0.0
180,9100,Provinsi Papua Barat,2023,0.0
181,1400,Provinsi Riau,2023,0.0
182,7600,Provinsi Sulawesi Barat,2023,0.0
183,7300,Provinsi Sulawesi Selatan,2023,5975164158.0
184,7200,Provinsi Sulawesi Tengah,2023,5229569971.0
185,7400,Provinsi Sulawesi Tenggara,2023,2804510000.0
186,7100,Provinsi Sulawesi Utara,2023,1500588302.0
187,1300,Provinsi Sumatera Barat,2023,553551500.0
188,1600,Provinsi Sumatera Selatan,2023,445228676.0
189,1200,Provinsi Sumatera Utara,2023,73564110000.0
190,1100,Provinsi Aceh,2024,0.0
191,5100,Provinsi Bali,2024,0.0
192,1900,Provinsi Bangka Belitung,2024,0.0
193,3600,Provinsi Banten,2024,0.0
194,1700,Provinsi Bengkulu,2024,0.0
195,3400,Provinsi DI Yogyakarta,2024,0.0
196,3100,Provinsi DKI Jakarta,2024,2219386595107.0
197,7500,Provinsi Gorontalo,2024,2018977452.0
198,1500,Provinsi Jambi,2024,35232615899.0
199,3200,Provinsi Jawa Barat,2024,0.0
200,9700,Provinsi Jawa Tengah,2024,0.0
201,9600,Provinsi Jawa Tengah,2024,0.0
202,3300,Provinsi Jawa Tengah,2024,0.0
203,3500,Provinsi Jawa Timur,2024,0.0
204,6100,Provinsi Kalimantan Barat,2024,0.0
205,6300,Provinsi Kalimantan Selatan,2024,0.0
206,9500,Provinsi Kalimantan Selatan,2024,0.0
207,6200,Provinsi Kalimantan Tengah,2024,0.0
208,6400,Provinsi Kalimantan Timur,2024,0.0
209,6500,Provinsi Kalimantan Utara,2024,0.0
210,2100,Provinsi Kepulauan Riau,2024,0.0
211,1800,Provinsi Lampung,2024,0.0
212,8100,Provinsi Maluku,2024,0.0
213,8200,Provinsi Maluku Utara,2024,0.0
214,5200,Provinsi Nusa Tenggara Barat,2024,0.0
215,5300,Provinsi Nusa Tenggara Timur,2024,911176700.0
216,9400,Provinsi Papua,2024,0.0
217,9200,Provinsi Papua Barat,2024,0.0
218,9100,Provinsi Papua Barat,2024,0.0
219,1400,Provinsi Riau,2024,0.0
220,7600,Provinsi Sulawesi Barat,2024,0.0
221,7300,Provinsi Sulawesi Selatan,2024,3684984158.0
222,7200,Provinsi Sulawesi Tengah,2024,1761319595.0
223,7400,Provinsi Sulawesi Tenggara,2024,1709854088.0
224,7100,Provinsi Sulawesi Utara,2024,0.0
225,1300,Provinsi Sumatera Barat,2024,0.0
226,1600,Provinsi Sumatera Selatan,2024,0.0
227,1200,Provinsi Sumatera Utara,2024,0.0
