,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2019,0.0
1,5100,Provinsi Bali,2019,136868812000.0
2,1900,Provinsi Bangka Belitung,2019,50971604000.0
3,3600,Provinsi Banten,2019,0.0
4,1700,Provinsi Bengkulu,2019,44182492000.0
5,3400,Provinsi DI Yogyakarta,2019,117663598000.0
6,3100,Provinsi DKI Jakarta,2019,114356616000.0
7,7500,Provinsi Gorontalo,2019,20577548000.0
8,1500,Provinsi Jambi,2019,51482198000.0
9,3200,Provinsi Jawa Barat,2019,85159588000.0
10,9700,Provinsi Jawa Tengah,2019,124776842000.0
11,9600,Provinsi Jawa Tengah,2019,124776842000.0
12,3300,Provinsi Jawa Tengah,2019,124776842000.0
13,3500,Provinsi Jawa Timur,2019,147590956000.0
14,6100,Provinsi Kalimantan Barat,2019,30542918000.0
15,6300,Provinsi Kalimantan Selatan,2019,111036778000.0
16,9500,Provinsi Kalimantan Selatan,2019,111036778000.0
17,6200,Provinsi Kalimantan Tengah,2019,27272010000.0
18,6400,Provinsi Kalimantan Timur,2019,19766784000.0
19,6500,Provinsi Kalimantan Utara,2019,0.0
20,2100,Provinsi Kepulauan Riau,2019,106614862000.0
21,1800,Provinsi Lampung,2019,53512726000.0
22,8100,Provinsi Maluku,2019,0.0
23,8200,Provinsi Maluku Utara,2019,0.0
24,5200,Provinsi Nusa Tenggara Barat,2019,72692856000.0
25,5300,Provinsi Nusa Tenggara Timur,2019,0.0
26,9400,Provinsi Papua,2019,0.0
27,9200,Provinsi Papua Barat,2019,0.0
28,9100,Provinsi Papua Barat,2019,0.0
29,1400,Provinsi Riau,2019,14771991000.0
30,7600,Provinsi Sulawesi Barat,2019,72168322000.0
31,7300,Provinsi Sulawesi Selatan,2019,57883696000.0
32,7200,Provinsi Sulawesi Tengah,2019,41389964000.0
33,7400,Provinsi Sulawesi Tenggara,2019,24993728000.0
34,7100,Provinsi Sulawesi Utara,2019,71283996000.0
35,1300,Provinsi Sumatera Barat,2019,36638896000.0
36,1600,Provinsi Sumatera Selatan,2019,132950476000.0
37,1200,Provinsi Sumatera Utara,2019,0.0
38,1100,Provinsi Aceh,2020,20781270000.0
39,5100,Provinsi Bali,2020,157604564000.0
40,1900,Provinsi Bangka Belitung,2020,105640090000.0
41,3600,Provinsi Banten,2020,79878156000.0
42,1700,Provinsi Bengkulu,2020,62792678000.0
43,3400,Provinsi DI Yogyakarta,2020,136107988000.0
44,3100,Provinsi DKI Jakarta,2020,130353950000.0
45,7500,Provinsi Gorontalo,2020,64842316000.0
46,1500,Provinsi Jambi,2020,27534368000.0
47,3200,Provinsi Jawa Barat,2020,58826544000.0
48,9700,Provinsi Jawa Tengah,2020,136424910000.0
49,9600,Provinsi Jawa Tengah,2020,136424910000.0
50,3300,Provinsi Jawa Tengah,2020,136424910000.0
51,3500,Provinsi Jawa Timur,2020,191366336000.0
52,6100,Provinsi Kalimantan Barat,2020,0.0
53,6300,Provinsi Kalimantan Selatan,2020,127693962000.0
54,9500,Provinsi Kalimantan Selatan,2020,127693962000.0
55,6200,Provinsi Kalimantan Tengah,2020,126444770000.0
56,6400,Provinsi Kalimantan Timur,2020,144677652000.0
57,6500,Provinsi Kalimantan Utara,2020,94964550000.0
58,2100,Provinsi Kepulauan Riau,2020,69852900000.0
59,1800,Provinsi Lampung,2020,92868196000.0
60,8100,Provinsi Maluku,2020,0.0
61,8200,Provinsi Maluku Utara,2020,31266516000.0
62,5200,Provinsi Nusa Tenggara Barat,2020,78270108000.0
63,5300,Provinsi Nusa Tenggara Timur,2020,38646732000.0
64,9400,Provinsi Papua,2020,0.0
65,9200,Provinsi Papua Barat,2020,34730206000.0
66,9100,Provinsi Papua Barat,2020,34730206000.0
67,1400,Provinsi Riau,2020,40487236000.0
68,7600,Provinsi Sulawesi Barat,2020,16834492000.0
69,7300,Provinsi Sulawesi Selatan,2020,9000000000.0
70,7200,Provinsi Sulawesi Tengah,2020,49857248000.0
71,7400,Provinsi Sulawesi Tenggara,2020,97866842000.0
72,7100,Provinsi Sulawesi Utara,2020,52735798000.0
73,1300,Provinsi Sumatera Barat,2020,88842624000.0
74,1600,Provinsi Sumatera Selatan,2020,80443298000.0
75,1200,Provinsi Sumatera Utara,2020,19745358000.0
76,1100,Provinsi Aceh,2021,13456400000.0
77,5100,Provinsi Bali,2021,75168526000.0
78,1900,Provinsi Bangka Belitung,2021,112877994000.0
79,3600,Provinsi Banten,2021,89931770000.0
80,1700,Provinsi Bengkulu,2021,37662496000.0
81,3400,Provinsi DI Yogyakarta,2021,155187014000.0
82,3100,Provinsi DKI Jakarta,2021,86741720000.0
83,7500,Provinsi Gorontalo,2021,79485560000.0
84,1500,Provinsi Jambi,2021,36867494000.0
85,3200,Provinsi Jawa Barat,2021,176331524000.0
86,9700,Provinsi Jawa Tengah,2021,137421210000.0
87,9600,Provinsi Jawa Tengah,2021,137421210000.0
88,3300,Provinsi Jawa Tengah,2021,137421210000.0
89,3500,Provinsi Jawa Timur,2021,104875120000.0
90,6100,Provinsi Kalimantan Barat,2021,33277890000.0
91,6300,Provinsi Kalimantan Selatan,2021,16172486000.0
92,9500,Provinsi Kalimantan Selatan,2021,16172486000.0
93,6200,Provinsi Kalimantan Tengah,2021,37451534000.0
94,6400,Provinsi Kalimantan Timur,2021,74908622000.0
95,6500,Provinsi Kalimantan Utara,2021,144592746000.0
96,2100,Provinsi Kepulauan Riau,2021,88874644000.0
97,1800,Provinsi Lampung,2021,34779496000.0
98,8100,Provinsi Maluku,2021,13759519000.0
99,8200,Provinsi Maluku Utara,2021,0.0
100,5200,Provinsi Nusa Tenggara Barat,2021,137044494000.0
101,5300,Provinsi Nusa Tenggara Timur,2021,14879224000.0
102,9400,Provinsi Papua,2021,31368836000.0
103,9200,Provinsi Papua Barat,2021,0.0
104,9100,Provinsi Papua Barat,2021,0.0
105,1400,Provinsi Riau,2021,64937398000.0
106,7600,Provinsi Sulawesi Barat,2021,32883328000.0
107,7300,Provinsi Sulawesi Selatan,2021,49011666000.0
108,7200,Provinsi Sulawesi Tengah,2021,90069996000.0
109,7400,Provinsi Sulawesi Tenggara,2021,62917354000.0
110,7100,Provinsi Sulawesi Utara,2021,107058442000.0
111,1300,Provinsi Sumatera Barat,2021,101431084000.0
112,1600,Provinsi Sumatera Selatan,2021,0.0
113,1200,Provinsi Sumatera Utara,2021,0.0
