,kode_wilayah,wilayah,tahun,nilai
0,1100,Provinsi Aceh,2019,16714943308000.0
1,5100,Provinsi Bali,2019,0.0
2,1900,Provinsi Bangka Belitung,2019,0.0
3,3600,Provinsi Banten,2019,0.0
4,1700,Provinsi Bengkulu,2019,0.0
5,3400,Provinsi DI Yogyakarta,2019,0.0
6,3100,Provinsi DKI Jakarta,2019,0.0
7,7500,Provinsi Gorontalo,2019,0.0
8,1500,Provinsi Jambi,2019,0.0
9,3200,Provinsi Jawa Barat,2019,0.0
10,9700,Provinsi Jawa Tengah,2019,0.0
11,9600,Provinsi Jawa Tengah,2019,0.0
12,3300,Provinsi Jawa Tengah,2019,0.0
13,3500,Provinsi Jawa Timur,2019,0.0
14,6100,Provinsi Kalimantan Barat,2019,0.0
15,6300,Provinsi Kalimantan Selatan,2019,0.0
16,9500,Provinsi Kalimantan Selatan,2019,0.0
17,6200,Provinsi Kalimantan Tengah,2019,0.0
18,6400,Provinsi Kalimantan Timur,2019,0.0
19,6500,Provinsi Kalimantan Utara,2019,0.0
20,2100,Provinsi Kepulauan Riau,2019,0.0
21,1800,Provinsi Lampung,2019,0.0
22,8100,Provinsi Maluku,2019,0.0
23,8200,Provinsi Maluku Utara,2019,0.0
24,5200,Provinsi Nusa Tenggara Barat,2019,0.0
25,5300,Provinsi Nusa Tenggara Timur,2019,0.0
26,9400,Provinsi Papua,2019,17349353390000.0
27,9200,Provinsi Papua Barat,2019,7895589918000.0
28,9100,Provinsi Papua Barat,2019,7895589918000.0
29,1400,Provinsi Riau,2019,0.0
30,7600,Provinsi Sulawesi Barat,2019,0.0
31,7300,Provinsi Sulawesi Selatan,2019,0.0
32,7200,Provinsi Sulawesi Tengah,2019,0.0
33,7400,Provinsi Sulawesi Tenggara,2019,0.0
34,7100,Provinsi Sulawesi Utara,2019,0.0
35,1300,Provinsi Sumatera Barat,2019,0.0
36,1600,Provinsi Sumatera Selatan,2019,0.0
37,1200,Provinsi Sumatera Utara,2019,0.0
38,1100,Provinsi Aceh,2020,15110556696000.0
39,5100,Provinsi Bali,2020,0.0
40,1900,Provinsi Bangka Belitung,2020,0.0
41,3600,Provinsi Banten,2020,0.0
42,1700,Provinsi Bengkulu,2020,0.0
43,3400,Provinsi DI Yogyakarta,2020,0.0
44,3100,Provinsi DKI Jakarta,2020,0.0
45,7500,Provinsi Gorontalo,2020,0.0
46,1500,Provinsi Jambi,2020,0.0
47,3200,Provinsi Jawa Barat,2020,0.0
48,9700,Provinsi Jawa Tengah,2020,0.0
49,9600,Provinsi Jawa Tengah,2020,0.0
50,3300,Provinsi Jawa Tengah,2020,0.0
51,3500,Provinsi Jawa Timur,2020,0.0
52,6100,Provinsi Kalimantan Barat,2020,0.0
53,6300,Provinsi Kalimantan Selatan,2020,0.0
54,9500,Provinsi Kalimantan Selatan,2020,0.0
55,6200,Provinsi Kalimantan Tengah,2020,0.0
56,6400,Provinsi Kalimantan Timur,2020,0.0
57,6500,Provinsi Kalimantan Utara,2020,0.0
58,2100,Provinsi Kepulauan Riau,2020,0.0
59,1800,Provinsi Lampung,2020,0.0
60,8100,Provinsi Maluku,2020,0.0
61,8200,Provinsi Maluku Utara,2020,0.0
62,5200,Provinsi Nusa Tenggara Barat,2020,0.0
63,5300,Provinsi Nusa Tenggara Timur,2020,0.0
64,9400,Provinsi Papua,2020,15999939840000.0
65,9200,Provinsi Papua Barat,2020,8002958856000.0
66,9100,Provinsi Papua Barat,2020,8002958856000.0
67,1400,Provinsi Riau,2020,0.0
68,7600,Provinsi Sulawesi Barat,2020,0.0
69,7300,Provinsi Sulawesi Selatan,2020,0.0
70,7200,Provinsi Sulawesi Tengah,2020,0.0
