,namapemda,tahun,kode_wilayah,nilai
0,Provinsi Aceh,2019,1100,26248473394578
1,Provinsi Bali,2019,5100,5332398384441
2,Provinsi Bangka Belitung,2019,1900,3670512449210
3,Provinsi Banten,2019,3600,8777731712213
4,Provinsi Bengkulu,2019,1700,4299465242723
5,Provinsi DI Yogyakarta,2019,3400,7374582950833
6,Provinsi DKI Jakarta,2019,3100,33220469563087
7,Provinsi Gorontalo,2019,7500,3078576787782
8,Provinsi Jambi,2019,1500,5947665898174
9,Provinsi Jawa Barat,2019,3200,30344309667166
10,Provinsi Jawa Tengah,2019,9700,23430923222232
11,Provinsi Jawa Tengah,2019,9600,23430923222232
12,Provinsi Jawa Tengah,2019,3300,23430923222232
13,Provinsi Jawa Timur,2019,3500,28878147018241
14,Provinsi Kalimantan Barat,2019,6100,7371924675657
15,Provinsi Kalimantan Selatan,2019,6300,7097961023617
16,Provinsi Kalimantan Selatan,2019,9500,7097961023617
17,Provinsi Kalimantan Tengah,2019,6200,6630355557770
18,Provinsi Kalimantan Timur,2019,6400,11842025730821
19,Provinsi Kalimantan Utara,2019,6500,3989977079170
20,Provinsi Kepulauan Riau,2019,2100,5434376105858
21,Provinsi Lampung,2019,1800,8605229686176
22,Provinsi Maluku,2019,8100,5305962178098
23,Provinsi Maluku Utara,2019,8200,4533937407195
24,Provinsi Nusa Tenggara Barat,2019,5200,6906794637954
25,Provinsi Nusa Tenggara Timur,2019,5300,8260883957785
26,Provinsi Papua,2019,9400,26553083022699
27,Provinsi Papua Barat,2019,9200,22668107454311
28,Provinsi Papua Barat,2019,9100,22668107454311
29,Provinsi Riau,2019,1400,10818099697501
30,Provinsi Sulawesi Barat,2019,7600,3421170830871
31,Provinsi Sulawesi Selatan,2019,7300,11124935875011
32,Provinsi Sulawesi Tengah,2019,7200,6141789525707
33,Provinsi Sulawesi Tenggara,2019,7400,6036388416382
34,Provinsi Sulawesi Utara,2019,7100,5408930404362
35,Provinsi Sumatera Barat,2019,1300,8249373515088
36,Provinsi Sumatera Selatan,2019,1600,12047443237192
37,Provinsi Sumatera Utara,2019,1200,15126485397017
38,Provinsi Aceh,2020,1100,23824085324552
39,Provinsi Bali,2020,5100,5331097989777
40,Provinsi Bangka Belitung,2020,1900,3345804179367
41,Provinsi Banten,2020,3600,8886572416207
42,Provinsi Bengkulu,2020,1700,4127909143238
43,Provinsi DI Yogyakarta,2020,3400,7550281084955
44,Provinsi DKI Jakarta,2020,3100,34838426205238
45,Provinsi Gorontalo,2020,7500,2898097496888
46,Provinsi Jambi,2020,1500,5761155685634
