kode_wilayah,wilayah,judul_data,tahun,nilai
7201,Banggai Kepulauan,PDRB,2014,2479.33
5105,Klungkung,Perubahan Inventori,2012,77.04
7174,Kota Kotamobagu,Net Ekspor,2022,-383.02
7312,Soppeng,Pengeluaran Konsumsi Pemerintah,2014,766.89
6371,Kota Banjarmasin,Pengeluaran Konsumsi LNPRT,2018,207.43
3326,Pekalongan,Perubahan Inventori,2015,351.56
7207,Buol,Pengeluaran Konsumsi LNPRT,2013,39.71
6205,Barito Utara,Pengeluaran Konsumsi LNPRT,2018,169.16
3571,Kota Kediri,Pengeluaran Konsumsi LNPRT,2018,247.03
5317,Sumba Barat Daya,Perubahan Inventori,2012,154.73
6211,Gunung Mas,Pengeluaran Konsumsi Pemerintah,2010,332.39
1806,Lampung Utara,Perubahan Inventori,2017,3.43
7208,Parigi Moutong,Pembentukan Modal Tetap Bruto,2022,10246.91
3207,Ciamis,PDRB,2023,39841.04
9502,Boven Digoel,Perubahan Inventori,2012,4.4
9707,Yahukimo,Pengeluaran Konsumsi Rumah Tangga,2013,1026.99
7503,Pohuwato,Perubahan Inventori,2024,120.59
7108,Siau Tagulandang Biaro,PDRB,2021,2626.95
1609,Ogan Komering Ulu Timur,Pengeluaran Konsumsi Pemerintah,2016,1271.11
3309,Boyolali,Pengeluaran Konsumsi LNPRT,2020,515.8
6311,Balangan,Pembentukan Modal Tetap Bruto,2013,1491.84
3278,Kota Tasikmalaya,Pengeluaran Konsumsi LNPRT,2012,271.11
1112,Aceh Barat Daya,Pengeluaran Konsumsi LNPRT,2016,48.4
3671,Kota Tangerang,Pengeluaran Konsumsi Pemerintah,2017,2888.19
8109,Buru Selatan,Pembentukan Modal Tetap Bruto,2017,563.35
3214,Purwakarta,Pengeluaran Konsumsi Pemerintah,2010,1288.56
5171,Kota Denpasar,Pembentukan Modal Tetap Bruto,2017,15979.75
3527,Sampang,Pengeluaran Konsumsi LNPRT,2019,337.16
1106,Aceh Tengah,PDRB,2013,5071.37
7412,Konawe Kepulauan,Pengeluaran Konsumsi Rumah Tangga,2022,847.57
3317,Rembang,Perubahan Inventori,2024,769.17
7211,Banggai Laut,PDRB,2014,1517.38
6102,Bengkayang,Net Ekspor,2013,-516.94
7303,Bantaeng,Pengeluaran Konsumsi LNPRT,2023,235.73
5271,Kota Mataram,Pembentukan Modal Tetap Bruto,2017,6292.23
1809,Pesawaran,Pengeluaran Konsumsi Pemerintah,2018,1074.8
1503,Sarolangun,Pengeluaran Konsumsi Rumah Tangga,2021,8853.75
3273,Kota Bandung,PDRB,2022,328151.44
5316,Sumba Tengah,Perubahan Inventori,2021,23.22
2171,Kota Batam,Pembentukan Modal Tetap Bruto,2013,44180.79
1608,Ogan Komering Ulu Selatan,Net Ekspor,2015,-1086.58
7103,Kepulauan Sangihe,PDRB,2020,4383.25
3218,Pangandaran,Net Ekspor,2015,-37.25
3375,Kota Pekalongan,Pengeluaran Konsumsi LNPRT,2012,66.56
5103,Badung,Perubahan Inventori,2022,167.78
1473,Kota Dumai,Perubahan Inventori,2014,1337.48
8102,Maluku Tenggara,Net Ekspor,2012,-817.48
3218,Pangandaran,Pengeluaran Konsumsi LNPRT,2020,93.04
6201,Kotawaringin Barat,Pengeluaran Konsumsi Pemerintah,2018,1191.82
5319,Manggarai Timur,Pembentukan Modal Tetap Bruto,2022,1364.67
3371,Kota Magelang,Pembentukan Modal Tetap Bruto,2011,2154.08
1310,Solok Selatan,Pengeluaran Konsumsi Rumah Tangga,2016,2503.47
3329,Brebes,PDRB,2017,39963.11
2101,Karimun,Pembentukan Modal Tetap Bruto,2022,5711.09
7308,Maros,Pengeluaran Konsumsi Rumah Tangga,2019,11131.28
1408,Bengkalis,Pengeluaran Konsumsi LNPRT,2019,371.04
6304,Barito Kuala,Pembentukan Modal Tetap Bruto,2016,2014.45
5310,Sikka,Pengeluaran Konsumsi LNPRT,2021,172.91
3673,Kota Serang,Net Ekspor,2014,-10032.17
7308,Maros,Pengeluaran Konsumsi Rumah Tangga,2016,8274.21
9104,Teluk Bintuni,Net Ekspor,2018,26455.76
3578,Kota Surabaya,Pengeluaran Konsumsi Pemerintah,2011,13407.79
6401,Paser,PDRB,2019,48025.89
1171,Kota Banda Aceh,Pengeluaran Konsumsi Rumah Tangga,2018,10868.24
5320,Sabu Raijua,Perubahan Inventori,2014,-1.0
